,GWW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.93,13.88,Valuation,1.4358789625360229
Price/Sales (TTM),1.29,1.71,Valuation,0.7543859649122807
Price/Book (MRQ),8.3,4.81,Valuation,1.7255717255717258
"PEG Ratio (TTM, GAAP)",2.1,3.04,Valuation,0.6907894736842105
Gross Profit Margin (TTM),0.37840000000000007,0.4093,Profitability,0.9245052528707551
Operating Profit Margin (TTM),0.09050000000000001,0.16140000000000002,Profitability,0.5607187112763321
Net Profit Margin (TTM),0.07,0.09949999999999999,Profitability,0.7035175879396987
Annual Dividend Yield,0.020499999999999997,0.0202,Dividend,1.0148514851485149
Dividend Change %,0.059699999999999996,0.0675,Dividend,0.8844444444444444
"Dividend Growth Rate, 3 Years",0.0555,0.08220000000000001,Dividend,0.6751824817518247
EPS Growth (MRQ),0.6831,-0.462,Gowth rates,-1.4785714285714286
EPS Growth (TTM),-0.006999999999999999,-0.045700000000000005,Gowth rates,0.1531728665207877
Revenue Growth (MRQ),0.0541,0.0286,Gowth rates,1.8916083916083917
Revenue Growth (TTM),0.0386,0.0545,Gowth rates,0.708256880733945
Return On Equity (TTM),0.4068,0.2413,Effectiveness,1.685868213841691
Return On Assets (TTM),0.12400000000000001,0.1005,Effectiveness,1.2338308457711444
Return On Investment (TTM),0.16649999999999998,0.12490000000000001,Effectiveness,1.3330664531625298
Revenue Per Employee (TTM),491092.0,1681087.0,Effectiveness,0.2921276531196779
Total Debt/Total Capital (MRQ),0.622,0.4621,Financial strength,1.3460289980523696
Change in Debt/Total Capital Quarter over Quarter,0.0027,-0.0001,Financial strength,-27.0
Quick Ratio (MRQ),2.2,1.37,Financial strength,1.6058394160583942
Interest Coverage (MRQ),16.33,36.22,Financial strength,0.45085588072887905
