,LEN
% Below High,0.2433
% Held by Institutions,0.9595999999999999
52-Wk Range,['25.42 - 71.38']
Annual Dividend $,0.5
Annual Dividend %,0.0098
Ask,54.29
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.5
Bid,52.82
Bid Size,700.0
Closing Price,54.01
Day Change $,3.17
Day Change %,0.062400000000000004
Day High,54.43
Day Low,51.19
Dividend Pay Date,2020-05-05 00:00:00
"EPS (TTM, GAAP)",6.31
Ex-dividend,2020-04-20 00:00:00
Ex-dividend Date,04/20/20
Historical Volatility,0.598
Last (size),61.0
Last (time),6:30p ET 05/08/20
Market Cap,16.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.06
Prev Close,50.84
Short Interest,0.032799999999999996
Today's Open,52.09
Volume,2615784.0
Volume 10-day Avg,3423655.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.3849056603773585
Growth 1yr High Est,0.1523297491039426
Growth 1yr Consensus Est,-0.11628795563670796
Growth 2yr Low Est,-0.0958270633175135
Growth 2yr High Est,0.13370764282568826
Growth 2yr Consensus Est,0.018940289754087375
Growth 5yr Low Est,-0.0958270633175135
Growth 5yr High Est,0.13370764282568826
Growth 5yr Consensus Est,0.018940289754087375
Growth 5yr Actual/Est,0.1572158296387871
Growth 3yr Historic,0.16615362861120786
Price/Earnings (TTM),8.05751
Price/Sales (TTM),0.67286
Price/Book (MRQ),0.98939
Price/Cash Flow (TTM),7.37789
5yr Low,25.42
5yr High,72.17
5yr Avg Return,0.06713333333333334
EPS Growth 5yr,0.1547752
Revenue Growth 5yr,0.2339839
Dividend Growth 5yr,0.0
Short Int Current Month,8814428.0
Short Int Prev Month,8761366.0
Short Int Pct of Float,0.032789399999999996
Days to Cover,2.40306
Float,284.5484
Shares Outstanding,312.2409
Institutions Holding Shares,860.0
FCF Growth 5yr,-0.027618463865443043
"Price/Earnings (TTM, GAAP)",8.06
"PEG Ratio (TTM, GAAP)",1.28
Gross Profit Margin (TTM),0.1452
Operating Profit Margin (TTM),0.1109
Net Profit Margin (TTM),0.08710000000000001
Annual Dividend Yield,0.0098
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.40520000000000006
EPS Growth (TTM),0.1469
Revenue Growth (MRQ),-0.35380000000000006
Revenue Growth (TTM),0.067
Return On Equity (TTM),0.129
Return On Assets (TTM),0.0688
Return On Investment (TTM),0.0763
Revenue Per Employee (TTM),2265666.0
Total Debt/Total Capital (MRQ),0.3603
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.64
newConstructs,2
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,2
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-04-28 00:00:00
cfra since,2016-06-21 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
