,LEN
Next Earnings Announcement,2020-06-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.3849056603773585
Growth 1yr High Est,0.1523297491039426
Growth 1yr Consensus Est,-0.11628795563670796
Growth 2yr Low Est,-0.0958270633175135
Growth 2yr High Est,0.13370764282568826
Growth 2yr Consensus Est,0.018940289754087375
Growth 5yr Low Est,-0.0958270633175135
Growth 5yr High Est,0.13370764282568826
Growth 5yr Consensus Est,0.018940289754087375
Growth 5yr Actual/Est,0.1572158296387871
Growth 3yr Historic,0.16615362861120786
