,MU
% Below High,0.2115
% Held by Institutions,0.7979
52-Wk Range,['31.13 - 61.19']
Annual Dividend $,
Annual Dividend %,
Ask,48.38
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.6
Bid,48.34
Bid Size,500.0
Closing Price,48.25
Day Change $,1.66
Day Change %,0.0356
Day High,48.46
Day Low,47.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.0
Ex-dividend Date,No dividend
Historical Volatility,0.59
Last (size),80.0
Last (time),4:15p ET 05/08/20
Market Cap,53.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.35
Prev Close,46.59
Short Interest,0.0348
Today's Open,47.29
Volume,17444957.0
Volume 10-day Avg,22657345.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.6860841423948221
Growth 1yr High Est,-0.5804416403785488
Growth 1yr Consensus Est,-0.6332628913866855
Growth 2yr Low Est,-0.18324825676442136
Growth 2yr High Est,1.0894784279310263
Growth 2yr Consensus Est,0.4531150855833025
Growth 5yr Low Est,0.17174961780021614
Growth 5yr High Est,0.7423293937218166
Growth 5yr Consensus Est,0.4570395057610164
Growth 5yr Actual/Est,0.3626870008090529
Growth 3yr Historic,0.23516373667161558
Price/Earnings (TTM),23.34601
Price/Sales (TTM),2.64385
Price/Book (MRQ),1.39935
Price/Cash Flow (TTM),6.69381
5yr Low,9.31
5yr High,64.66
5yr Avg Return,0.22473333333333334
EPS Growth 5yr,0.16754619999999998
Revenue Growth 5yr,0.0742847
Dividend Growth 5yr,
Short Int Current Month,38625590.0
Short Int Prev Month,31578316.0
Short Int Pct of Float,0.0348252
Days to Cover,1.31548
Float,1109.494
Shares Outstanding,1112.186
Institutions Holding Shares,1430.0
FCF Growth 5yr,-0.9260065224227825
"Price/Earnings (TTM, GAAP)",23.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3033
Operating Profit Margin (TTM),0.11900000000000001
Net Profit Margin (TTM),0.1176
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.17809999999999998
EPS Growth (TTM),-0.8127
Revenue Growth (MRQ),-0.0675
Revenue Growth (TTM),-0.3464
Return On Equity (TTM),0.063
Return On Assets (TTM),0.047400000000000005
Return On Investment (TTM),0.0556
Revenue Per Employee (TTM),529703.0
Total Debt/Total Capital (MRQ),0.1275
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),1.85
Interest Coverage (MRQ),32.14
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,buy
cfra,3
ford,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2017-03-24 00:00:00
cfra since,2019-06-26 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2008-02-08 00:00:00
