,BWA
Price/Earnings (TTM),8.04266
Price/Sales (TTM),0.5841
Price/Book (MRQ),1.22174
Price/Cash Flow (TTM),4.7817
5yr Low,17.0
5yr High,62.32
5yr Avg Return,-0.07810000000000002
EPS Growth 5yr,0.053285099999999995
Revenue Growth 5yr,0.0413054
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,15739580.0
Short Int Prev Month,13963520.0
Short Int Pct of Float,0.07657180000000001
Days to Cover,4.80668
Float,205.6433
Shares Outstanding,207.3099
Institutions Holding Shares,743.0
% Held by Institutions,0.944895
FCF Growth 5yr,0.16829420756088048
