,BWA
% Above Low,0.7288
% Held by Institutions,0.9449
52-Wk Range,['17.00 - 46.60']
Annual Dividend $,0.68
Annual Dividend %,0.024399999999999998
Ask,29.93
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,27.55
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.39
Day Change $,1.55
Day Change %,0.0557
Day High,29.5
Day Low,28.39
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",3.46
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.465
Last (size),12.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,6.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.04
Prev Close,27.84
Short Interest,0.0766
Today's Open,28.54
Volume,3957200.0
Volume 10-day Avg,3668385.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.781578947368421
Growth 1yr High Est,-0.07073170731707312
Growth 1yr Consensus Est,-0.4261553273427471
Growth 2yr Low Est,0.6031864299302474
Growth 2yr High Est,0.07487036681390441
Growth 2yr Consensus Est,0.3390283983720759
Growth 5yr Low Est,0.31166138601020515
Growth 5yr High Est,0.054627454959688876
Growth 5yr Consensus Est,0.183144420484947
Growth 5yr Actual/Est,0.051816152711486985
Growth 3yr Historic,0.01838648778920307
Price/Earnings (TTM),8.04266
Price/Sales (TTM),0.5841
Price/Book (MRQ),1.22174
Price/Cash Flow (TTM),4.7817
5yr Low,17.0
5yr High,62.32
5yr Avg Return,-0.07810000000000002
EPS Growth 5yr,0.053285099999999995
Revenue Growth 5yr,0.0413054
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,15739580.0
Short Int Prev Month,13963520.0
Short Int Pct of Float,0.07657180000000001
Days to Cover,4.80668
Float,205.6433
Shares Outstanding,207.3099
Institutions Holding Shares,743.0
FCF Growth 5yr,0.16829420756088048
"Price/Earnings (TTM, GAAP)",8.04
"PEG Ratio (TTM, GAAP)",2.76
Gross Profit Margin (TTM),0.2053
Operating Profit Margin (TTM),0.1243
Net Profit Margin (TTM),0.0772
Annual Dividend Yield,0.0244
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0866
EPS Growth (MRQ),-0.4119
EPS Growth (TTM),-0.17440000000000003
Revenue Growth (MRQ),-0.1094
Revenue Growth (TTM),-0.0417
Return On Equity (TTM),0.1589
Return On Assets (TTM),0.07780000000000001
Return On Investment (TTM),0.10220000000000001
Revenue Per Employee (TTM),340724.0
Total Debt/Total Capital (MRQ),0.2862
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.36
Interest Coverage (MRQ),46.8
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,4
creditSuisse,neutral
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2020-02-11 00:00:00
cfra since,2020-04-01 00:00:00
creditSuisse since,2020-01-27 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
