,QRVO
% Below High,0.1583
% Held by Institutions,0.9033
52-Wk Range,['58.52 - 122.37']
Annual Dividend $,
Annual Dividend %,
Ask,103.79
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,103.05
Bid Size,100.0
Closing Price,103.0
Day Change $,2.18
Day Change %,0.0216
Day High,108.78
Day Low,101.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.88
Ex-dividend Date,No dividend
Historical Volatility,0.551
Last (size),20.0
Last (time),4:15p ET 05/08/20
Market Cap,11.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.71
Prev Close,100.82
Short Interest,0.031200000000000002
Today's Open,107.92
Volume,2889598.0
Volume 10-day Avg,2012192.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.2857142857142857
Growth 1yr High Est,0.08617886178861767
Growth 1yr Consensus Est,-0.09976771196283402
Growth 2yr Low Est,0.13214285714285706
Growth 2yr High Est,0.1568618859841292
Growth 2yr Consensus Est,0.14450237156349313
Growth 5yr Low Est,0.10357908642891842
Growth 5yr High Est,0.11755987483893882
Growth 5yr Consensus Est,0.11056948063392862
Growth 5yr Actual/Est,0.09847366318684775
Growth 3yr Historic,0.0535063997043706
Price/Earnings (TTM),35.71094
Price/Sales (TTM),3.80414
Price/Book (MRQ),2.74717
Price/Cash Flow (TTM),14.57939
5yr Low,33.3
5yr High,122.37
5yr Avg Return,0.11951666666666667
EPS Growth 5yr,0.3902908
Revenue Growth 5yr,0.2189755
Dividend Growth 5yr,
Short Int Current Month,3597526.0
Short Int Prev Month,2948056.0
Short Int Pct of Float,0.031245099999999998
Days to Cover,1.97944
Float,115.1424
Shares Outstanding,115.6846
Institutions Holding Shares,733.0
FCF Growth 5yr,0.5941352519631582
"Price/Earnings (TTM, GAAP)",35.71
"PEG Ratio (TTM, GAAP)",3.94
Gross Profit Margin (TTM),0.41020000000000006
Operating Profit Margin (TTM),0.09609999999999999
Net Profit Margin (TTM),0.11050000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9591
EPS Growth (TTM),15.5667
Revenue Growth (MRQ),0.07730000000000001
Revenue Growth (TTM),0.0187
Return On Equity (TTM),0.0776
Return On Assets (TTM),0.0562
Return On Investment (TTM),0.060599999999999994
Revenue Per Employee (TTM),386698.0
Total Debt/Total Capital (MRQ),0.2662
Change in Debt/Total Capital Quarter over Quarter,0.0096
Quick Ratio (MRQ),3.23
Interest Coverage (MRQ),12.74
theStreet,buy
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,3
ford,2
creditSuisse,
theStreet since,2019-03-26 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-11-01 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,
