,VLO
% Above Low,1.1265
% Held by Institutions,0.7813
52-Wk Range,['31.00 - 101.99']
Annual Dividend $,3.92
Annual Dividend %,0.064
Ask,66.2
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,2.0
Bid,65.92
Bid Size,400.0
Closing Price,65.92
Day Change $,4.66
Day Change %,0.0761
Day High,66.22
Day Low,61.56
Dividend Pay Date,2020-06-03 00:00:00
"EPS (TTM, GAAP)",0.98
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.638
Last (size),795.0
Last (time),6:30p ET 05/08/20
Market Cap,26.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",66.99
Prev Close,61.26
Short Interest,0.0208
Today's Open,62.82
Volume,4410329.0
Volume 10-day Avg,5429067.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-2.06401766004415
Growth 1yr High Est,-0.6465863453815262
Growth 1yr Consensus Est,-1.3553020027128382
Growth 2yr Low Est,-1.702133311349876
Growth 2yr High Est,1.5318204636728732
Growth 2yr Consensus Est,-0.08515642383850142
Growth 5yr Low Est,-0.851066655674938
Growth 5yr High Est,0.7659102318364366
Growth 5yr Consensus Est,-0.04257821191925065
Growth 5yr Actual/Est,-1.588372289833548
Growth 3yr Historic,0.06482319888825666
Price/Earnings (TTM),66.99187
Price/Sales (TTM),0.25315
Price/Book (MRQ),1.42637
Price/Cash Flow (TTM),8.53461
5yr Low,31.0
5yr High,126.98
5yr Avg Return,0.045966666666666656
EPS Growth 5yr,-0.0348693
Revenue Growth 5yr,-0.0370712
Dividend Growth 5yr,0.27944800000000003
Short Int Current Month,8600163.0
Short Int Prev Month,8359892.0
Short Int Pct of Float,0.0208095
Days to Cover,1.53141
Float,406.2855
Shares Outstanding,407.6986
Institutions Holding Shares,1463.0
FCF Growth 5yr,0.006853265576234291
"Price/Earnings (TTM, GAAP)",66.99
"PEG Ratio (TTM, GAAP)",11.17
Gross Profit Margin (TTM),0.0438
Operating Profit Margin (TTM),0.0118
Net Profit Margin (TTM),0.008100000000000001
Annual Dividend Yield,0.059500000000000004
Dividend Change %,0.125
"Dividend Growth Rate, 3 Years",0.14470000000000002
EPS Growth (MRQ),-2.7538
EPS Growth (TTM),-0.8484999999999999
Revenue Growth (MRQ),-0.2072
Revenue Growth (TTM),-0.0757
Return On Equity (TTM),0.021
Return On Assets (TTM),0.0173
Return On Investment (TTM),0.022400000000000003
Revenue Per Employee (TTM),10385740.0
Total Debt/Total Capital (MRQ),0.368
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),0.94
newConstructs,3
researchTeam,reduce
creditSuisse,outperform
marketEdge opinion,neutralfromavoid
marketEdge,3
cfra,2
theStreet,hold
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-30 00:00:00
creditSuisse since,2018-10-31 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-04-30 00:00:00
theStreet since,2020-03-17 00:00:00
ford since,2020-05-01 00:00:00
