,2015,2016,2017,2018,2019,2020,Report
high,67.17,68.5,75.68,79.69,83.41,79.66,
low,45.04,43.46,61.93,53.43,55.84,49.11,
change,-0.2854,0.37420000000000003,0.1,-0.2126,0.4057,-0.1208,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,2016.0,1916.0,2365.0,3436.0,4175.0,,Balance Sheet
Short Term Investments,1448.0,1141.0,1367.0,1020.0,1162.0,,Balance Sheet
Cash and Short Term Invs,3465.0,3057.0,3732.0,4456.0,5337.0,,Balance Sheet
"Trade Accts Recvble, Net",879.0,862.0,1128.0,1314.0,1306.0,,Balance Sheet
Notes Recvble - Short Term,9304.0,8837.0,9697.0,10841.0,12086.0,,Balance Sheet
"Total Receivables, Net",10183.0,9700.0,10825.0,12155.0,13392.0,,Balance Sheet
Invent. - Finished Goods,444.0,452.0,516.0,563.0,585.0,,Balance Sheet
Invent. - Work In Progress,529.0,445.0,586.0,803.0,755.0,,Balance Sheet
LIFO Reserve,-176.0,-169.0,-174.0,-182.0,-186.0,,Balance Sheet
Total Inventory,797.0,728.0,928.0,1185.0,1153.0,,Balance Sheet
"Other Curr. Assets, Total",246.0,226.0,404.0,365.0,388.0,,Balance Sheet
Total Current Assets,14689.0,13710.0,15890.0,18161.0,20271.0,,Balance Sheet
Buildings,1062.0,1134.0,1315.0,1329.0,1382.0,,Balance Sheet
Land/Improvements,222.0,221.0,263.0,265.0,272.0,,Balance Sheet
Machinery/Equipment,7855.0,8208.0,9464.0,8931.0,9055.0,,Balance Sheet
Construction in Progress,248.0,353.0,254.0,309.0,742.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,38.0,,Balance Sheet
Prop./Plant/Equip. - Gross,9387.0,9916.0,11296.0,10834.0,11488.0,,Balance Sheet
Accumulated Depreciation,-3838.0,-4018.0,-4690.0,-4712.0,-4918.0,,Balance Sheet
Prop./Plant/Equip. - Net,5549.0,5898.0,6606.0,6123.0,6570.0,,Balance Sheet
Other Long Term Assets,871.0,1032.0,944.0,1199.0,1521.0,,Balance Sheet
Total Assets,21110.0,20639.0,23440.0,25482.0,28361.0,,Balance Sheet
Payable/Accrued,1286.0,1331.0,1621.0,1824.0,1720.0,,Balance Sheet
Accrued Expenses,1142.0,1096.0,1412.0,1722.0,2091.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,1.0,,Balance Sheet
Dividends Payable,493.0,210.0,422.0,695.0,797.0,,Balance Sheet
Other Current Liabilities,1.0,2.0,3.0,5.0,11.0,,Balance Sheet
"Other Curr. Lblts, Total",493.0,213.0,425.0,700.0,808.0,,Balance Sheet
Total Current Liabilities,2921.0,2640.0,3458.0,4246.0,4620.0,,Balance Sheet
Long Term Debt,8592.0,8475.0,8879.0,9951.0,11223.0,,Balance Sheet
Capital Lease Obligations,,,,,1.0,,Balance Sheet
Total Long Term Debt,8592.0,8475.0,8879.0,9951.0,11223.0,,Balance Sheet
Total Debt,8592.0,8475.0,8879.0,9951.0,11224.0,,Balance Sheet
Deferred Income Tax,841.0,889.0,675.0,685.0,753.0,,Balance Sheet
"Other Liabilities, Total",1815.0,1858.0,2377.0,2008.0,2059.0,,Balance Sheet
Total Liabilities,14169.0,13861.0,15390.0,16890.0,18655.0,,Balance Sheet
Common Stock,351.0,351.0,352.0,347.0,346.0,,Balance Sheet
Additional Paid-In Capital,69.0,70.0,123.0,69.0,61.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),7537.0,7485.0,8369.0,9275.0,10399.0,,Balance Sheet
Unrealized Gain (Loss),2.0,0.0,-2.0,2.0,-15.0,,Balance Sheet
Cum. Trans. Adjustment,-622.0,-709.0,-417.0,-620.0,-573.0,,Balance Sheet
Min. Pension Lblty Adj.,-390.0,-414.0,-376.0,-478.0,-518.0,,Balance Sheet
Other Comprehensive Income,-6.0,-4.0,1.0,-2.0,6.0,,Balance Sheet
