,PCAR
% Below High,0.1414
% Held by Institutions,0.6217
52-Wk Range,['49.11 - 81.09']
Annual Dividend $,1.28
Annual Dividend %,0.0187
Ask,69.61
Ask Size,100.0
B/A Ratio,28.0
B/A Size,2800x100
Beta,1.1
Bid,69.6
Bid Size,2800.0
Closing Price,69.62
Day Change $,1.01
Day Change %,0.0147
Day High,69.79
Day Low,68.78
Dividend Pay Date,2020-06-02 00:00:00
"EPS (TTM, GAAP)",6.1
Ex-dividend,2020-05-11 00:00:00
Ex-dividend Date,05/11/20
Historical Volatility,0.34700000000000003
Last (size),3700.0
Last (time),3:59p ET 05/08/20
Market Cap,24.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.42
Prev Close,68.61
Short Interest,0.0147
Today's Open,69.23
Volume,1587746.0
Volume 10-day Avg,1871059.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.8833087149187592
Growth 1yr High Est,-0.4747474747474747
Growth 1yr Consensus Est,-0.6790280948331169
Growth 2yr Low Est,1.2229026045659368
Growth 2yr High Est,0.10191197691197695
Growth 2yr Consensus Est,0.6624072907389569
Growth 5yr Low Est,0.7566945528273453
Growth 5yr High Est,0.1873513907548391
Growth 5yr Consensus Est,0.47202297179109226
Growth 5yr Actual/Est,0.1424194388268517
Growth 3yr Historic,0.1414375677139762
Price/Earnings (TTM),11.41645
Price/Sales (TTM),0.99158
Price/Book (MRQ),2.49732
Price/Cash Flow (TTM),7.50179
5yr Low,43.46
5yr High,83.41
5yr Avg Return,0.04351666666666667
EPS Growth 5yr,0.1248432
Revenue Growth 5yr,0.061475499999999995
Dividend Growth 5yr,0.0827852
Short Int Current Month,4997640.0
Short Int Prev Month,4540693.0
Short Int Pct of Float,0.0147279
Days to Cover,2.34962
Float,338.7743
Shares Outstanding,345.7269
Institutions Holding Shares,884.0
FCF Growth 5yr,0.20844545034395603
"Price/Earnings (TTM, GAAP)",11.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1955
Operating Profit Margin (TTM),0.1176
Net Profit Margin (TTM),0.0873
Annual Dividend Yield,0.0184
Dividend Change %,0.1743
"Dividend Growth Rate, 3 Years",-0.0638
EPS Growth (MRQ),-0.3237
EPS Growth (TTM),-0.0761
Revenue Growth (MRQ),-0.1562
Revenue Growth (TTM),-0.0023
Return On Equity (TTM),0.226
Return On Assets (TTM),0.0793
Return On Investment (TTM),0.09300000000000001
Revenue Per Employee (TTM),899030.0
Total Debt/Total Capital (MRQ),0.5361
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),4.71
Interest Coverage (MRQ),16.83
newConstructs,1
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,3
theStreet,buy
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-01-30 00:00:00
theStreet since,2020-04-23 00:00:00
ford since,2020-01-31 00:00:00
creditSuisse since,2008-01-29 00:00:00
