,WMT
% Below High,0.0783
% Held by Institutions,0.2948
52-Wk Range,['98.85 - 133.38']
Annual Dividend $,2.16
Annual Dividend %,0.0177
Ask,123.15
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.3
Bid,122.9
Bid Size,100.0
Closing Price,122.94
Day Change $,1.05
Day Change %,0.0086
Day High,123.01
Day Low,121.62
Dividend Pay Date,2020-09-08 00:00:00
"EPS (TTM, GAAP)",5.19
Ex-dividend,2020-08-13 00:00:00
Ex-dividend Date,08/13/20
Historical Volatility,0.28800000000000003
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,348.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.69
Prev Close,121.89
Short Interest,0.009399999999999999
Today's Open,122.75
Volume,6944352.0
Volume 10-day Avg,8330110.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-05-19 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.1612244897959184
Growth 1yr High Est,0.07326732673267333
Growth 1yr Consensus Est,-0.04397858153162254
Growth 2yr Low Est,0.027660261184765778
Growth 2yr High Est,0.06799897701947322
Growth 2yr Consensus Est,0.0478296191021195
Growth 5yr Low Est,0.04672665159036829
Growth 5yr High Est,0.06276167235794783
Growth 5yr Consensus Est,0.05474416197415806
Growth 5yr Actual/Est,0.05313528644653409
Growth 3yr Historic,0.02873326206559701
Price/Earnings (TTM),23.69375
Price/Sales (TTM),0.66488
Price/Book (MRQ),4.66279
Price/Cash Flow (TTM),13.30286
5yr Low,56.3
5yr High,133.38
5yr Avg Return,0.10343333333333332
EPS Growth 5yr,0.0091447
Revenue Growth 5yr,0.0153024
Dividend Growth 5yr,0.020015900000000003
Short Int Current Month,16920644.0
Short Int Prev Month,14059765.0
Short Int Pct of Float,0.0093775
Days to Cover,1.72337
Float,1390.968
Shares Outstanding,2833.702
Institutions Holding Shares,2567.0
FCF Growth 5yr,-0.00848035720610743
"Price/Earnings (TTM, GAAP)",23.69
"PEG Ratio (TTM, GAAP)",4.17
Gross Profit Margin (TTM),0.2469
Operating Profit Margin (TTM),0.0393
Net Profit Margin (TTM),0.028999999999999998
Annual Dividend Yield,0.0176
Dividend Change %,0.0192
"Dividend Growth Rate, 3 Years",0.0196
EPS Growth (MRQ),0.2616
EPS Growth (TTM),1.138
Revenue Growth (MRQ),0.1069
Revenue Growth (TTM),0.018600000000000002
Return On Equity (TTM),0.2022
Return On Assets (TTM),0.0667
Return On Investment (TTM),0.1061
Revenue Per Employee (TTM),238166.0
Total Debt/Total Capital (MRQ),0.40049999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.22
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,long
marketEdge,-1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-03 00:00:00
theStreet since,2017-02-22 00:00:00
cfra since,2019-07-15 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-03-18 00:00:00
