,2020,2017,2018,2019,Report,2016
high,15.0,,,,,
low,5.8,,,,,
change,-0.392,,,,,
Date,,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,Balance Sheet,
Cash and Short Term Invs,,126.0,81.0,72.0,Balance Sheet,
"Trade Accts Recvble, Gross",,428.0,410.0,386.0,Balance Sheet,
Prov. for Doubtful Accts,,-5.0,-2.0,-2.0,Balance Sheet,
"Trade Accts Recvble, Net",,423.0,408.0,384.0,Balance Sheet,
Other Receivables,,123.0,127.0,136.0,Balance Sheet,
"Total Receivables, Net",,546.0,535.0,520.0,Balance Sheet,
Invent. - Finished Goods,,238.0,235.0,237.0,Balance Sheet,
Invent. - Work In Progress,,760.0,812.0,738.0,Balance Sheet,
Invent. - Raw Materials,,156.0,144.0,154.0,Balance Sheet,
LIFO Reserve,,-350.0,-373.0,-309.0,Balance Sheet,
Total Inventory,,804.0,818.0,820.0,Balance Sheet,
Prepaid Expenses,,64.0,42.0,28.0,Balance Sheet,
Total Current Assets,,1540.0,1476.0,1440.0,Balance Sheet,
Land/Improvements,,30.0,27.0,27.0,Balance Sheet,
Machinery/Equipment,,6916.0,6861.0,6868.0,Balance Sheet,
Construction in Progress,,248.0,314.0,315.0,Balance Sheet,
Other Prop./Plant/Equip.,,,,125.0,Balance Sheet,
Prop./Plant/Equip. - Gross,,7194.0,7202.0,7335.0,Balance Sheet,
Accumulated Depreciation,,-4333.0,-4341.0,-4466.0,Balance Sheet,
Prop./Plant/Equip. - Net,,2861.0,2861.0,2869.0,Balance Sheet,
"Goodwill, Gross",,447.0,413.0,,Balance Sheet,
Accum. Goodwill Amort.,,-53.0,-28.0,,Balance Sheet,
"Goodwill, Net",,394.0,385.0,386.0,Balance Sheet,
Intangibles - Gross,,289.0,256.0,242.0,Balance Sheet,
Accum. Intangible Amort.,,-228.0,-214.0,-217.0,Balance Sheet,
Intangibles - Net,,61.0,42.0,25.0,Balance Sheet,
Other Long Term Assets,,20.0,16.0,7.0,Balance Sheet,
Total Assets,,4902.0,4795.0,4741.0,Balance Sheet,
Accounts Payable,,958.0,1165.0,1061.0,Balance Sheet,
Accrued Expenses,,74.0,66.0,113.0,Balance Sheet,
Notes Payable/ST Debt,,0.0,0.0,0.0,Balance Sheet,
Income Taxes Payable,,51.0,37.0,21.0,Balance Sheet,
