,ARNC
% Above Low,0.5724
% Held by Institutions,0.3236
52-Wk Range,['5.80 - 15.00']
Annual Dividend $,
Annual Dividend %,
Ask,9.18
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,
Bid,9.1
Bid Size,400.0
Change Since Close,-0.03| |(-0.33%)
Closing Price,9.12
Day Change $,0.45
Day Change %,0.0519
Day High,9.12
Day Low,8.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,1.729
Last (size),47.0
Last (time),6:30p ET 05/08/20
Last Trade,9.09
Market Cap,994.3M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,8.67
Short Interest,0.0406
Today's Open,8.74
Volume,1590279.0
Volume 10-day Avg,2334294.0
Volume Past Day,(Light)
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.34827
Price/Cash Flow (TTM),
5yr Low,5.8
5yr High,15.0
5yr Avg Return,-0.392
Short Int Current Month,4425592.0
Short Int Prev Month,0.0
Short Int Pct of Float,0.0406168
Days to Cover,0.53953
Float,108.2687
Shares Outstanding,109.0214
Institutions Holding Shares,9.0
FCF Growth 5yr,-1.243107762286617
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Total Debt/Total Capital (MRQ),0.084
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),6.46
ford,1
marketEdge opinion,avoid
marketEdge,0
newConstructs,
creditSuisse,
cfra,
theStreet,
researchTeam,
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
newConstructs since,
creditSuisse since,
cfra since,
theStreet since,
researchTeam since,
