,SBUX
% Below High,0.2191
% Held by Institutions,0.6785
52-Wk Range,['50.02 - 99.72']
Annual Dividend $,1.64
Annual Dividend %,0.0216
Ask,78.0
Ask Size,2200.0
B/A Ratio,0.09090909090909091
B/A Size,200x2200
Beta,0.8
Bid,77.63
Bid Size,200.0
Closing Price,77.87
Day Change $,1.87
Day Change %,0.0246
Day High,77.93
Day Low,75.76
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",2.81
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.43
Last (size),5.0
Last (time),4:00p ET 05/08/20
Market Cap,91.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.71
Prev Close,76.0
Short Interest,0.0163
Today's Open,77.25
Volume,11921827.0
Volume 10-day Avg,13129872.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-0.9178571428571428
Growth 1yr High Est,-0.3402777777777778
Growth 1yr Consensus Est,-0.6290674603174603
Growth 2yr Low Est,3.758462732919255
Growth 2yr High Est,0.15091374269005858
Growth 2yr Consensus Est,1.9546882378046566
Growth 5yr Low Est,1.9636144064925594
Growth 5yr High Est,0.1610759189640769
Growth 5yr Consensus Est,1.062345162728318
Growth 5yr Actual/Est,0.20976441370055504
Growth 3yr Historic,0.08604469228917594
Price/Earnings (TTM),27.70997
Price/Sales (TTM),3.41208
Price/Book (MRQ),
Price/Cash Flow (TTM),18.72541
5yr Low,42.05
5yr High,99.72
5yr Avg Return,0.09253333333333334
EPS Growth 5yr,0.1658506
Revenue Growth 5yr,0.10015990000000001
Dividend Growth 5yr,0.22594740000000002
Short Int Current Month,19123237.0
Short Int Prev Month,17901598.0
Short Int Pct of Float,0.0163311
Days to Cover,1.4745
Float,1165.57
Shares Outstanding,1168.3
Institutions Holding Shares,2359.0
FCF Growth 5yr,0.441300032512718
"Price/Earnings (TTM, GAAP)",27.71
"PEG Ratio (TTM, GAAP)",6.53
Gross Profit Margin (TTM),0.26890000000000003
Operating Profit Margin (TTM),0.1693
Net Profit Margin (TTM),0.127
Annual Dividend Yield,0.0211
Dividend Change %,0.1429
"Dividend Growth Rate, 3 Years",0.2164
EPS Growth (MRQ),-0.626
EPS Growth (TTM),0.2165
Revenue Growth (MRQ),-0.1552
Revenue Growth (TTM),0.0435
Return On Equity (TTM),
Return On Assets (TTM),0.1501
Return On Investment (TTM),0.2144
Revenue Per Employee (TTM),77060.0
Total Debt/Total Capital (MRQ),2.1621
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.52
Interest Coverage (MRQ),14.29
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
theStreet,hold
cfra,3
ford,4
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-04-29 00:00:00
cfra since,2016-12-05 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2019-06-25 00:00:00
