,Industry,SBUX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.94,27.71,Valuation,1.2629899726526892
Price/Sales (TTM),8.26,3.41,Valuation,0.41283292978208236
Price/Book (MRQ),4.17,,Valuation,
"PEG Ratio (TTM, GAAP)",69.54,6.53,Valuation,0.09390278976128846
Gross Profit Margin (TTM),0.41630000000000006,0.26890000000000003,Profitability,0.6459284170069661
Operating Profit Margin (TTM),0.2077,0.1693,Profitability,0.8151179585941262
Net Profit Margin (TTM),0.1241,0.127,Profitability,1.0233682514101532
Annual Dividend Yield,0.0148,0.0211,Dividend,1.4256756756756757
Dividend Change %,0.1185,0.1429,Dividend,1.2059071729957807
"Dividend Growth Rate, 3 Years",0.0885,0.2164,Dividend,2.4451977401129947
EPS Growth (MRQ),-0.6358,-0.626,Gowth rates,0.9845863479081471
EPS Growth (TTM),0.0032,0.2165,Gowth rates,67.65625
Revenue Growth (MRQ),-0.0748,-0.1552,Gowth rates,2.0748663101604277
Revenue Growth (TTM),0.029700000000000004,0.0435,Gowth rates,1.4646464646464643
Return On Equity (TTM),0.11710000000000001,,Effectiveness,
Return On Assets (TTM),0.1011,0.1501,Effectiveness,1.4846686449060338
Return On Investment (TTM),0.131,0.2144,Effectiveness,1.6366412213740458
Revenue Per Employee (TTM),156725.0,77060.0,Effectiveness,0.49168926463550805
Total Debt/Total Capital (MRQ),1.3097,2.1621,Financial strength,1.650836069328854
Change in Debt/Total Capital Quarter over Quarter,0.0003,-0.0002,Financial strength,-0.6666666666666667
Quick Ratio (MRQ),1.01,0.52,Financial strength,0.5148514851485149
Interest Coverage (MRQ),6.89,14.29,Financial strength,2.074020319303338
