,LEG
% Above Low,0.3527
% Held by Institutions,0.7252
52-Wk Range,['22.03 - 55.42']
Annual Dividend $,1.6
Annual Dividend %,0.059500000000000004
Ask,31.3
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.7
Bid,29.2
Bid Size,400.0
Closing Price,29.8
Day Change $,2.93
Day Change %,0.109
Day High,29.91
Day Low,27.53
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",2.35
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.58
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,3.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.43
Prev Close,26.87
Short Interest,0.0425
Today's Open,27.6
Volume,2371743.0
Volume 10-day Avg,2894097.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.6259842519685039
Growth 1yr High Est,-0.3410852713178295
Growth 1yr Consensus Est,-0.4835347616431667
Growth 2yr Low Est,0.21332366348943232
Growth 2yr High Est,-0.011719106247149946
Growth 2yr Consensus Est,0.10080227862114119
Growth 5yr Low Est,0.11824752797010898
Growth 5yr High Est,0.0024057529988740223
Growth 5yr Consensus Est,0.0603266404844915
Growth 5yr Actual/Est,0.04906637874116904
Growth 3yr Historic,0.01110510097036449
Price/Earnings (TTM),11.42719
Price/Sales (TTM),0.76537
Price/Book (MRQ),2.8701
Price/Cash Flow (TTM),6.94594
5yr Low,22.03
5yr High,55.42
5yr Avg Return,-0.028849999999999994
EPS Growth 5yr,0.0972146
Revenue Growth 5yr,0.0467265
Dividend Growth 5yr,0.0530754
Short Int Current Month,5549064.0
Short Int Prev Month,6103756.0
Short Int Pct of Float,0.0424907
Days to Cover,4.4357
Float,130.6366
Shares Outstanding,132.2494
Institutions Holding Shares,667.0
FCF Growth 5yr,0.2395146109373083
"Price/Earnings (TTM, GAAP)",11.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2241
Operating Profit Margin (TTM),0.1068
Net Profit Margin (TTM),0.06860000000000001
Annual Dividend Yield,0.059500000000000004
Dividend Change %,0.0533
"Dividend Growth Rate, 3 Years",0.0565
EPS Growth (MRQ),-0.4673
EPS Growth (TTM),0.1032
Revenue Growth (MRQ),-0.0868
Revenue Growth (TTM),0.0562
Return On Equity (TTM),0.2616
Return On Assets (TTM),0.0641
Return On Investment (TTM),0.0776
Revenue Per Employee (TTM),211041.0
Total Debt/Total Capital (MRQ),0.6657
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.32
Interest Coverage (MRQ),4.04
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,2
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-23 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-04-23 00:00:00
theStreet since,2020-03-09 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,
