,TFX
% Below High,0.1464
% Held by Institutions,0.9337000000000001
52-Wk Range,['221.27 - 398.65']
Annual Dividend $,1.36
Annual Dividend %,0.004
Ask,342.88
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,200.0
Bid Size,1000.0
Closing Price,340.3
Day Change $,-2.97
Day Change %,-0.0087
Day High,348.47
Day Low,339.97
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",11.68
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.42
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,15.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.12
Prev Close,343.27
Short Interest,0.0168
Today's Open,344.0
Volume,193173.0
Volume 10-day Avg,374338.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.16380090497737565
Growth 1yr High Est,-0.03234501347708907
Growth 1yr Consensus Est,-0.09807295922723236
Growth 2yr Low Est,0.09450647391823852
Growth 2yr High Est,0.16535024163657153
Growth 2yr Consensus Est,0.12992835777740502
Growth 5yr Low Est,0.12438064904649315
Growth 5yr High Est,0.1577837602758509
Growth 5yr Consensus Est,0.14108220466117202
Growth 5yr Actual/Est,0.1401020505088171
Growth 3yr Historic,0.07620851370851373
Price/Earnings (TTM),29.12343
Price/Sales (TTM),6.04748
Price/Book (MRQ),5.14045
Price/Cash Flow (TTM),20.58086
5yr Low,122.13
5yr High,398.65
5yr Avg Return,0.2079833333333333
EPS Growth 5yr,0.1908189
Revenue Growth 5yr,0.071233
Dividend Growth 5yr,0.0
Short Int Current Month,777430.0
Short Int Prev Month,675675.0
Short Int Pct of Float,0.0168029
Days to Cover,2.56477
Float,46.28629
Shares Outstanding,46.42542
Institutions Holding Shares,728.0
FCF Growth 5yr,0.0857903556578733
"Price/Earnings (TTM, GAAP)",29.12
"PEG Ratio (TTM, GAAP)",2.54
Gross Profit Margin (TTM),0.5667
Operating Profit Margin (TTM),0.1915
Net Profit Margin (TTM),0.21100000000000002
Annual Dividend Yield,0.004
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.2159
EPS Growth (TTM),1.9864
Revenue Growth (MRQ),-0.0739
Revenue Growth (TTM),0.0556
Return On Equity (TTM),0.1954
Return On Assets (TTM),0.085
Return On Investment (TTM),0.09150000000000001
Revenue Per Employee (TTM),181418.0
Total Debt/Total Capital (MRQ),0.438
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),2.38
Interest Coverage (MRQ),13.79
newConstructs,4
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
theStreet,buy
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2016-07-29 00:00:00
theStreet since,2018-11-29 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
