,SCHW
% Above Low,0.3039
% Held by Institutions,0.83
52-Wk Range,['28.00 - 51.65']
Annual Dividend $,0.72
Annual Dividend %,0.020499999999999997
Ask,36.6
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.3
Bid,36.33
Bid Size,100.0
Closing Price,36.51
Day Change $,1.34
Day Change %,0.0381
Day High,36.66
Day Low,35.81
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",2.57
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.495
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,47.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.23
Prev Close,35.17
Short Interest,0.062
Today's Open,35.88
Volume,9489401.0
Volume 10-day Avg,8373060.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.23673469387755108
Growth 1yr High Est,-0.21454545454545448
Growth 1yr Consensus Est,-0.22564007421150278
Growth 2yr Low Est,-0.1905598603077595
Growth 2yr High Est,-0.12810606060606067
Growth 2yr Consensus Est,-0.1593329604569101
Growth 5yr Low Est,0.04348326743284725
Growth 5yr High Est,0.0893241146403797
Growth 5yr Consensus Est,0.06640369103661348
Growth 5yr Actual/Est,0.06136895384305438
Growth 3yr Historic,0.14592458934793434
Price/Earnings (TTM),14.2287
Price/Sales (TTM),4.08788
Price/Book (MRQ),
Price/Cash Flow (TTM),12.63506
5yr Low,21.51
5yr High,60.22
5yr Avg Return,0.051383333333333336
EPS Growth 5yr,0.22739209999999999
Revenue Growth 5yr,0.1386548
Dividend Growth 5yr,0.23157119999999998
Short Int Current Month,71376681.0
Short Int Prev Month,70308507.0
Short Int Pct of Float,0.0619786
Days to Cover,6.77974
Float,1152.826
Shares Outstanding,1287.384
Institutions Holding Shares,1456.0
FCF Growth 5yr,-1.9850383638378126
"Price/Earnings (TTM, GAAP)",14.23
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9231999999999999
Operating Profit Margin (TTM),0.40280000000000005
Net Profit Margin (TTM),0.3074
Annual Dividend Yield,0.0197
Dividend Change %,0.4783
"Dividend Growth Rate, 3 Years",0.36060000000000003
EPS Growth (MRQ),-0.055700000000000006
EPS Growth (TTM),-0.0079
Revenue Growth (MRQ),-0.0076
Revenue Growth (TTM),0.0022
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),583655.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,4
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2019-01-28 00:00:00
ford since,2019-11-22 00:00:00
creditSuisse since,
