,Industry,SCHW,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.92,14.23,Valuation,0.7940848214285714
Price/Sales (TTM),8.17,4.09,Valuation,0.5006119951040392
Price/Book (MRQ),82.69,,Valuation,
"PEG Ratio (TTM, GAAP)",58.12,,Valuation,
Gross Profit Margin (TTM),0.46280000000000004,0.9231999999999999,Profitability,1.9948141745894552
Operating Profit Margin (TTM),0.2973,0.40280000000000005,Profitability,1.354860410359906
Net Profit Margin (TTM),0.1956,0.3074,Profitability,1.5715746421267893
Annual Dividend Yield,0.0275,0.0197,Dividend,0.7163636363636363
Dividend Change %,0.1478,0.4783,Dividend,3.2361299052774024
"Dividend Growth Rate, 3 Years",0.15109999999999998,0.36060000000000003,Dividend,2.3864990072799475
EPS Growth (MRQ),-0.354,-0.055700000000000006,Gowth rates,0.1573446327683616
EPS Growth (TTM),0.0031,-0.0079,Gowth rates,-2.548387096774194
Revenue Growth (MRQ),-0.2028,-0.0076,Gowth rates,0.03747534516765286
Revenue Growth (TTM),0.0079,0.0022,Gowth rates,0.27848101265822783
Return On Equity (TTM),4.6817,,Effectiveness,
Return On Assets (TTM),0.0592,,Effectiveness,
Return On Investment (TTM),0.1151,,Effectiveness,
Revenue Per Employee (TTM),834195.0,583655.0,Effectiveness,0.6996625489244122
Total Debt/Total Capital (MRQ),0.4335,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0006,-0.0004,Financial strength,-0.6666666666666667
Quick Ratio (MRQ),0.0,,Financial strength,
Interest Coverage (MRQ),13.18,,Financial strength,
