,WFC
% Above Low,0.0129
% Held by Institutions,0.7593000000000001
52-Wk Range,['25.11 - 54.75']
Annual Dividend $,2.04
Annual Dividend %,0.0809
Ask,25.54
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,25.5
Bid Size,100.0
Closing Price,25.43
Day Change $,0.2
Day Change %,0.0079
Day High,25.78
Day Low,25.23
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",2.83
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.499
Last (size),400.0
Last (time),6:30p ET 05/08/20
Market Cap,104.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.98
Prev Close,25.23
Short Interest,0.0116
Today's Open,25.64
Volume,53768812.0
Volume 10-day Avg,42561061.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-1.3824228028503565
Growth 1yr High Est,-0.547945205479452
Growth 1yr Consensus Est,-0.9651840041649042
Growth 2yr Low Est,-1.6663666809282838
Growth 2yr High Est,0.17047184170471852
Growth 2yr Consensus Est,-0.7479474196117826
Growth 5yr Low Est,-0.813311545592347
Growth 5yr High Est,0.08870814307458147
Growth 5yr Consensus Est,-0.3623017012588828
Growth 5yr Actual/Est,0.2896691782914077
Growth 3yr Historic,0.01233861643703632
Price/Earnings (TTM),8.97863
Price/Sales (TTM),1.28449
Price/Book (MRQ),0.64554
Price/Cash Flow (TTM),5.16051
5yr Low,25.11
5yr High,66.31
5yr Avg Return,-0.08186666666666667
EPS Growth 5yr,-0.0021998
Revenue Growth 5yr,0.0680318
Dividend Growth 5yr,0.07298460000000001
Short Int Current Month,47291626.0
Short Int Prev Month,46969527.0
Short Int Pct of Float,0.011578900000000001
Days to Cover,1.19816
Float,4094.787
Shares Outstanding,4099.998
Institutions Holding Shares,2392.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",8.98
"PEG Ratio (TTM, GAAP)",1.57
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.22190000000000001
Net Profit Margin (TTM),0.1796
Annual Dividend Yield,0.0802
Dividend Change %,0.17070000000000002
"Dividend Growth Rate, 3 Years",0.08220000000000001
Return On Equity (TTM),0.0742
Return On Assets (TTM),0.0075
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
creditSuisse,neutral
theStreet,hold
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-04 00:00:00
creditSuisse since,2017-02-16 00:00:00
theStreet since,2020-02-13 00:00:00
ford since,2019-09-13 00:00:00
