,WFC
Price/Earnings (TTM),8.97863
Price/Sales (TTM),1.28449
Price/Book (MRQ),0.64554
Price/Cash Flow (TTM),5.16051
5yr Low,25.11
5yr High,66.31
5yr Avg Return,-0.08186666666666667
EPS Growth 5yr,-0.0021998
Revenue Growth 5yr,0.0680318
Dividend Growth 5yr,0.07298460000000001
Short Int Current Month,47291626.0
Short Int Prev Month,46969527.0
Short Int Pct of Float,0.011578900000000001
Days to Cover,1.19816
Float,4094.787
Shares Outstanding,4099.998
Institutions Holding Shares,2392.0
% Held by Institutions,0.7592650000000001
FCF Growth 5yr,
