,WY
% Above Low,0.5153
% Held by Institutions,0.7676000000000001
52-Wk Range,['13.10 - 31.58']
Annual Dividend $,1.36
Annual Dividend %,0.073
Ask,20.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.9
Bid,19.0
Bid Size,500.0
Closing Price,19.85
Day Change $,1.22
Day Change %,0.0655
Day High,19.87
Day Low,19.05
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.638
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,14.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",40.83
Prev Close,18.63
Short Interest,0.011000000000000001
Today's Open,19.14
Volume,5764502.0
Volume 10-day Avg,6137208.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-1.435897435897436
Growth 1yr High Est,-0.34883720930232553
Growth 1yr Consensus Est,-0.8923673225998807
Growth 2yr Low Est,-1.6003016591251886
Growth 2yr High Est,0.8434385382059798
Growth 2yr Consensus Est,-0.3784315604596044
Growth 5yr Low Est,-0.9682154698088428
Growth 5yr High Est,0.2991947889621603
Growth 5yr Consensus Est,-0.33451034042334127
Growth 5yr Actual/Est,0.7051162237418686
Growth 3yr Historic,-0.1608511422254974
Price/Earnings (TTM),40.83186
Price/Sales (TTM),2.23109
Price/Book (MRQ),1.83274
Price/Cash Flow (TTM),16.967
5yr Low,13.1
5yr High,38.39
5yr Avg Return,-0.030149999999999993
EPS Growth 5yr,
Revenue Growth 5yr,0.036102300000000004
Dividend Growth 5yr,
Short Int Current Month,8154830.0
Short Int Prev Month,9466835.0
Short Int Pct of Float,0.010961700000000001
Days to Cover,1.3246
Float,744.1329
Shares Outstanding,746.206
Institutions Holding Shares,1151.0
FCF Growth 5yr,0.31624344778067226
"Price/Earnings (TTM, GAAP)",40.83
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.17579999999999998
Operating Profit Margin (TTM),0.1464
Net Profit Margin (TTM),0.0547
Annual Dividend Yield,
Dividend Change %,0.030299999999999997
"Dividend Growth Rate, 3 Years",0.0313
EPS Growth (MRQ),11.6958
EPS Growth (TTM),1.0074
Revenue Growth (MRQ),0.11630000000000001
Revenue Growth (TTM),-0.0848
Return On Equity (TTM),0.043
Return On Assets (TTM),0.0211
Return On Investment (TTM),0.0232
Revenue Per Employee (TTM),706277.0
Total Debt/Total Capital (MRQ),0.4789
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),2.78
newConstructs,4
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-10-29 00:00:00
theStreet since,2018-11-06 00:00:00
ford since,2019-12-06 00:00:00
creditSuisse since,
