,DLR
% Below High,0.084
% Held by Institutions,0.8621
52-Wk Range,['105.00 - 158.36']
Annual Dividend $,4.48
Annual Dividend %,0.0301
Ask,148.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,143.51
Bid Size,100.0
Closing Price,145.06
Day Change $,-3.97
Day Change %,-0.026600000000000002
Day High,153.18
Day Low,143.0
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",2.35
Ex-dividend,2020-03-16 00:00:00
Ex-dividend Date,03/16/20
Historical Volatility,0.391
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,38.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",63.42
Prev Close,149.03
Short Interest,0.0528
Today's Open,153.0
Volume,2077172.0
Volume 10-day Avg,1661354.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2666666666666666
Growth 2yr High Est,0.2777777777777779
Growth 2yr Consensus Est,0.005555555555555647
Growth 5yr Low Est,-0.2666666666666666
Growth 5yr High Est,0.2777777777777779
Growth 5yr Consensus Est,0.005555555555555647
Growth 5yr Actual/Est,0.21025532065183902
Growth 3yr Historic,0.2910927456382002
Price/Earnings (TTM),63.42377
Price/Sales (TTM),12.45514
Price/Book (MRQ),3.68655
Price/Cash Flow (TTM),23.67976
5yr Low,60.66
5yr High,158.36
5yr Avg Return,0.14941666666666667
EPS Growth 5yr,0.1883651
Revenue Growth 5yr,0.1470138
Dividend Growth 5yr,0.0538244
Short Int Current Month,13653141.0
Short Int Prev Month,14759664.0
Short Int Pct of Float,0.05284900000000001
Days to Cover,5.72852
Float,268.1264
Shares Outstanding,268.2114
Institutions Holding Shares,1048.0
FCF Growth 5yr,3.1821094032834365
"Price/Earnings (TTM, GAAP)",63.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6283
Operating Profit Margin (TTM),0.19399999999999998
Net Profit Margin (TTM),0.18670000000000003
Annual Dividend Yield,0.0301
Dividend Change %,0.0732
"Dividend Growth Rate, 3 Years",0.0679
EPS Growth (MRQ),5.3198
EPS Growth (TTM),0.9429000000000001
Revenue Growth (MRQ),-0.0236
Revenue Growth (TTM),0.0534
Return On Equity (TTM),0.057800000000000004
Return On Assets (TTM),0.0256
Return On Investment (TTM),0.028700000000000003
Revenue Per Employee (TTM),2070478.0
Total Debt/Total Capital (MRQ),0.4917
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.65
newConstructs,4
researchTeam,hold
creditSuisse,
theStreet,buy
cfra,3
ford,1
marketEdge opinion,long
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-01-06 00:00:00
creditSuisse since,
theStreet since,2020-02-14 00:00:00
cfra since,2017-07-31 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
