,Industry,NFLX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",67.57,93.74,Valuation,1.3873020571259436
Price/Sales (TTM),7.74,8.97,Valuation,1.1589147286821706
Price/Book (MRQ),11.0,22.83,Valuation,2.075454545454545
"PEG Ratio (TTM, GAAP)",1.47,2.61,Valuation,1.7755102040816326
Gross Profit Margin (TTM),0.4175,0.39490000000000003,Profitability,0.945868263473054
Operating Profit Margin (TTM),0.07,0.145,Profitability,2.071428571428571
Net Profit Margin (TTM),0.030699999999999998,0.0983,Profitability,3.201954397394137
Annual Dividend Yield,0.001,,Dividend,
Dividend Change %,0.0263,,Dividend,
"Dividend Growth Rate, 3 Years",0.0351,,Dividend,
EPS Growth (MRQ),-0.177,0.5395000000000001,Gowth rates,-3.048022598870057
EPS Growth (TTM),-0.4598,0.7015000000000001,Gowth rates,-1.5256633318834278
Revenue Growth (MRQ),0.2641,0.054900000000000004,Gowth rates,0.20787580461946234
Revenue Growth (TTM),0.2943,0.2882,Gowth rates,0.9792728508324838
Return On Equity (TTM),-0.0116,0.2982,Effectiveness,-25.706896551724142
Return On Assets (TTM),0.0339,0.0676,Effectiveness,1.9941002949852507
Return On Investment (TTM),0.0291,0.0885,Effectiveness,3.0412371134020617
Revenue Per Employee (TTM),1068590.0,2488738.0,Effectiveness,2.3289924105597097
Total Debt/Total Capital (MRQ),0.42,0.6356,Financial strength,1.5133333333333334
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0011,Financial strength,2.2
Quick Ratio (MRQ),0.49,,Financial strength,
Interest Coverage (MRQ),6.02,7.24,Financial strength,1.2026578073089702
