,NFLX
% Below High,0.0311
% Held by Institutions,0.8136
52-Wk Range,['252.28 - 449.52']
Annual Dividend $,
Annual Dividend %,
Ask,435.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.0
Bid,434.6
Bid Size,100.0
Closing Price,435.55
Day Change $,-0.98
Day Change %,-0.0022
Day High,442.0
Day Low,433.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.66
Ex-dividend Date,No dividend
Historical Volatility,0.419
Last (size),5.0
Last (time),4:15p ET 05/08/20
Market Cap,191.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",93.74
Prev Close,436.53
Short Interest,0.0359
Today's Open,434.14
Volume,5054308.0
Volume 10-day Avg,7495157.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,42.0
Growth 1yr Low Est,1.2093023255813953
Growth 1yr High Est,1.3968749999999996
Growth 1yr Consensus Est,1.3030886627906975
Growth 2yr Low Est,0.7300897592819257
Growth 2yr High Est,0.892700863754889
Growth 2yr Consensus Est,0.8113953115184074
Growth 5yr Low Est,0.652544879640963
Growth 5yr High Est,0.8213504318774445
Growth 5yr Consensus Est,0.7369476557592037
Growth 5yr Actual/Est,0.6435717061026549
Growth 3yr Historic,0.42126119402985074
Price/Earnings (TTM),93.74336
Price/Sales (TTM),8.97007
Price/Book (MRQ),22.8292
Price/Cash Flow (TTM),16.29864
5yr Low,79.95
5yr High,449.52
5yr Avg Return,0.33498333333333336
EPS Growth 5yr,0.4418911
Revenue Growth 5yr,0.2963932
Dividend Growth 5yr,
Short Int Current Month,15497397.0
Short Int Prev Month,15633465.0
Short Int Pct of Float,0.0359024
Days to Cover,2.24259
Float,432.6575
Shares Outstanding,439.804
Institutions Holding Shares,1908.0
FCF Growth 5yr,0.30862161348197825
"Price/Earnings (TTM, GAAP)",93.74
"PEG Ratio (TTM, GAAP)",2.61
Gross Profit Margin (TTM),0.39490000000000003
Operating Profit Margin (TTM),0.145
Net Profit Margin (TTM),0.0983
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5395000000000001
EPS Growth (TTM),0.7015000000000001
Revenue Growth (MRQ),0.054900000000000004
Revenue Growth (TTM),0.2882
Return On Equity (TTM),0.2982
Return On Assets (TTM),0.0676
Return On Investment (TTM),0.0885
Revenue Per Employee (TTM),2488738.0
Total Debt/Total Capital (MRQ),0.6356
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.24
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,long
marketEdge,0
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2020-01-14 00:00:00
cfra since,2015-01-21 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-07-16 00:00:00
