,2015,2016,2017,2018,2019,2020,Report
high,133.27,129.29,204.38,423.21,385.99,449.52,
low,82.19,79.95,124.31,195.42,252.28,290.25,
change,0.38939999999999997,0.1358,0.5362,0.3649,0.24800000000000003,0.3356,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash,1707.0,1264.0,,2573.0,3104.0,,Balance Sheet
Cash & Equivalents,103.0,203.0,2823.0,1222.0,1915.0,,Balance Sheet
Short Term Investments,501.0,266.0,0.0,,,,Balance Sheet
Cash and Short Term Invs,2311.0,1734.0,2823.0,3794.0,5018.0,,Balance Sheet
"Trade Accts Recvble, Net",2906.0,3726.0,4311.0,5514.0,454.0,,Balance Sheet
Other Receivables,,,,207.0,525.0,,Balance Sheet
"Total Receivables, Net",2906.0,3726.0,4311.0,5721.0,979.0,,Balance Sheet
Prepaid Expenses,,,,179.0,181.0,,Balance Sheet
"Other Curr. Assets, Total",215.0,260.0,536.0,,,,Balance Sheet
Total Current Assets,5432.0,5720.0,7670.0,9694.0,6179.0,,Balance Sheet
Buildings,148.0,149.0,271.0,355.0,388.0,,Balance Sheet
Land/Improvements,,,,6.0,6.0,,Balance Sheet
Machinery/Equipment,283.0,255.0,313.0,342.0,399.0,,Balance Sheet
Construction in Progress,9.0,108.0,8.0,20.0,101.0,,Balance Sheet
Other Prop./Plant/Equip.,31.0,32.0,49.0,64.0,1619.0,,Balance Sheet
Prop./Plant/Equip. - Gross,471.0,545.0,641.0,787.0,2513.0,,Balance Sheet
Accumulated Depreciation,-297.0,-294.0,-322.0,-369.0,-416.0,,Balance Sheet
Prop./Plant/Equip. - Net,173.0,250.0,319.0,418.0,2097.0,,Balance Sheet
Intangibles - Net,4313.0,7275.0,10371.0,14951.0,24505.0,,Balance Sheet
Other Long Term Assets,285.0,341.0,652.0,911.0,1195.0,,Balance Sheet
Total Assets,10203.0,13587.0,19013.0,25974.0,33976.0,,Balance Sheet
Accounts Payable,3043.0,3946.0,4533.0,5245.0,5088.0,,Balance Sheet
Accrued Expenses,140.0,198.0,315.0,482.0,843.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
"Other Curr. Lblts, Total",347.0,443.0,619.0,761.0,925.0,,Balance Sheet
Total Current Liabilities,3530.0,4587.0,5466.0,6487.0,6856.0,,Balance Sheet
Long Term Debt,2371.0,3364.0,6499.0,10360.0,14759.0,,Balance Sheet
Capital Lease Obligations,29.0,29.0,30.0,,,,Balance Sheet
Total Long Term Debt,2400.0,3394.0,6529.0,10360.0,14759.0,,Balance Sheet
Total Debt,2400.0,3394.0,6529.0,10360.0,14759.0,,Balance Sheet
"Other Liabilities, Total",2049.0,2927.0,3436.0,3888.0,4779.0,,Balance Sheet
Total Liabilities,7979.0,10907.0,15431.0,20736.0,26394.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,,Balance Sheet
Common Stock,1325.0,1600.0,1871.0,2316.0,2794.0,,Balance Sheet
