,ORCL
% Below High,0.11449999999999999
% Held by Institutions,0.5151
52-Wk Range,['39.71 - 60.50']
Annual Dividend $,0.96
Annual Dividend %,0.0183
Ask,53.88
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.9
Bid,53.39
Bid Size,100.0
Closing Price,53.57
Day Change $,0.97
Day Change %,0.0184
Day High,53.78
Day Low,52.77
Dividend Pay Date,2020-04-23 00:00:00
"EPS (TTM, GAAP)",3.18
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.397
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,168.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.86
Prev Close,52.6
Short Interest,0.014199999999999999
Today's Open,53.19
Volume,8131796.0
Volume 10-day Avg,8511864.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-06-18 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,0.08259587020648951
Growth 1yr High Est,0.14367816091954033
Growth 1yr Consensus Est,0.11313701556301492
Growth 2yr Low Est,0.046747526383898674
Growth 2yr High Est,0.1308843065904235
Growth 2yr Consensus Est,0.08881591648716108
Growth 5yr Low Est,0.09660189165263594
Growth 5yr High Est,0.138581144983618
Growth 5yr Consensus Est,0.11759151831812698
Growth 5yr Actual/Est,0.10965292559041373
Growth 3yr Historic,0.06672281489799736
Price/Earnings (TTM),16.86405
Price/Sales (TTM),4.2484
Price/Book (MRQ),11.89566
Price/Cash Flow (TTM),12.27833
5yr Low,33.13
5yr High,60.5
5yr Avg Return,0.04566666666666666
EPS Growth 5yr,0.0378736
Revenue Growth 5yr,0.0063512
Dividend Growth 5yr,0.12593379999999998
Short Int Current Month,28421676.0
Short Int Prev Month,25170811.0
Short Int Pct of Float,0.014162
Days to Cover,2.16586
Float,2006.983
Shares Outstanding,3153.584
Institutions Holding Shares,2375.0
FCF Growth 5yr,-0.0023609970959274753
"Price/Earnings (TTM, GAAP)",16.86
"PEG Ratio (TTM, GAAP)",1.75
Gross Profit Margin (TTM),0.798
Operating Profit Margin (TTM),0.3482
Net Profit Margin (TTM),0.2706
Annual Dividend Yield,0.0179
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),0.1329
EPS Growth (TTM),0.20989999999999998
Revenue Growth (MRQ),0.0189
Revenue Growth (TTM),0.0097
Return On Equity (TTM),0.5670000000000001
Return On Assets (TTM),0.10439999999999999
Return On Investment (TTM),0.1257
Revenue Per Employee (TTM),292390.0
Total Debt/Total Capital (MRQ),0.7763
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.79
newConstructs,1
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,buy
cfra,2
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-12-05 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-06-20 00:00:00
cfra since,2019-12-05 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,2017-09-05 00:00:00
