,BF.B
% Below High,0.0944
% Held by Institutions,0.5011
52-Wk Range,['44.68 - 72.85']
Annual Dividend $,0.6972
Annual Dividend %,0.0108
Ask,66.63
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,59.21
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,65.97
Day Change $,1.32
Day Change %,0.0204
Day High,66.4
Day Low,65.07
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",1.73
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.381
Last (size),300.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,31.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.29
Prev Close,64.65
Short Interest,0.0296
Today's Open,65.75
Volume,701444.0
Volume 10-day Avg,1011191.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-03 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.030303030303030165
Growth 1yr High Est,0.028735632183908066
Growth 1yr Consensus Est,-0.0007836990595610493
Growth 2yr Low Est,-0.20890151515151512
Growth 2yr High Est,0.06464714570089258
Growth 2yr Consensus Est,-0.07212718472531127
Growth 5yr Low Est,-0.10970720867483369
Growth 5yr High Est,0.032997730153817045
Growth 5yr Consensus Est,-0.03835473926050832
Growth 5yr Actual/Est,0.060907181555150014
Growth 3yr Historic,0.062302722430459645
Price/Earnings (TTM),37.28718
Price/Sales (TTM),8.86075
Price/Book (MRQ),15.41524
Price/Cash Flow (TTM),33.1595
5yr Low,34.98
5yr High,72.85
5yr Avg Return,0.1319833333333333
EPS Growth 5yr,0.0391847
Revenue Growth 5yr,0.0213367
Dividend Growth 5yr,0.08247460000000001
Short Int Current Month,3402099.0
Short Int Prev Month,3381354.0
Short Int Pct of Float,0.0295578
Days to Cover,8.33229
Float,339.6044
Shares Outstanding,478.1402
Institutions Holding Shares,795.0
FCF Growth 5yr,0.08553292282650152
"Price/Earnings (TTM, GAAP)",37.29
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6345000000000001
Operating Profit Margin (TTM),0.3331
Net Profit Margin (TTM),0.2451
Annual Dividend Yield,0.0108
Dividend Change %,0.0658
"Dividend Growth Rate, 3 Years",0.0734
EPS Growth (MRQ),-0.1813
EPS Growth (TTM),0.20989999999999998
Revenue Growth (MRQ),-0.091
Revenue Growth (TTM),0.0257
Return On Equity (TTM),0.47630000000000006
Return On Assets (TTM),0.156
Return On Investment (TTM),0.1826
Revenue Per Employee (TTM),722979.0
Total Debt/Total Capital (MRQ),0.5339
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),2.0
Interest Coverage (MRQ),20.0
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2009-05-29 00:00:00
cfra since,2020-03-18 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
