,ES
% Above Low,0.2818
% Held by Institutions,0.8054000000000001
52-Wk Range,['60.69 - 99.42']
Annual Dividend $,2.27
Annual Dividend %,0.0292
Ask,78.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.4
Bid,61.05
Bid Size,100.0
Closing Price,77.79
Day Change $,0.15
Day Change %,0.0019
Day High,79.0
Day Low,77.12
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",2.85
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.425
Last (size),81.0
Last (time),6:30p ET 05/08/20
Market Cap,26.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",27.23
Prev Close,77.64
Short Interest,0.0256
Today's Open,77.64
Volume,1430114.0
Volume 10-day Avg,1823187.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.04664723032069973
Growth 1yr High Est,0.04843304843304863
Growth 1yr Consensus Est,0.04754013937687418
Growth 2yr Low Est,0.055357041344193836
Growth 2yr High Est,0.0676947850860895
Growth 2yr Consensus Est,0.06152591321514167
Growth 5yr Low Est,0.058794411360356014
Growth 5yr High Est,0.05752962145870738
Growth 5yr Consensus Est,0.0581620164095317
Growth 5yr Actual/Est,0.0576356475241539
Growth 3yr Historic,0.022023250061835253
Price/Earnings (TTM),27.23417
Price/Sales (TTM),3.02519
Price/Book (MRQ),1.94149
Price/Cash Flow (TTM),13.86932
5yr Low,44.64
5yr High,99.42
5yr Avg Return,0.09008333333333335
EPS Growth 5yr,0.0174295
Revenue Growth 5yr,0.019382
Dividend Growth 5yr,0.0639049
Short Int Current Month,8416462.0
Short Int Prev Month,6238511.0
Short Int Pct of Float,0.0255727
Days to Cover,3.91574
Float,329.161
Shares Outstanding,330.3322
Institutions Holding Shares,989.0
FCF Growth 5yr,-0.6003428548299878
"Price/Earnings (TTM, GAAP)",27.23
"PEG Ratio (TTM, GAAP)",4.75
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.19280000000000003
Net Profit Margin (TTM),0.1112
Annual Dividend Yield,0.0292
Dividend Change %,0.05940000000000001
"Dividend Growth Rate, 3 Years",0.0633
EPS Growth (MRQ),0.3211
EPS Growth (TTM),-0.15810000000000002
Revenue Growth (MRQ),0.1597
Revenue Growth (TTM),-0.0116
Return On Equity (TTM),0.0753
Return On Assets (TTM),0.0234
Return On Investment (TTM),0.026000000000000002
Revenue Per Employee (TTM),1029609.0
Total Debt/Total Capital (MRQ),0.5394
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),4.0
newConstructs,3
researchTeam,reduce
theStreet,buy
creditSuisse,neutral
cfra,2
ford,3
marketEdge opinion,avoid
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-09-27 00:00:00
theStreet since,2010-08-15 00:00:00
creditSuisse since,2020-01-17 00:00:00
cfra since,2019-09-27 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
