,XRAY
% Above Low,0.2874
% Held by Institutions,0.9673
52-Wk Range,['31.58 - 60.87']
Annual Dividend $,0.4
Annual Dividend %,0.0097
Ask,41.3
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.0
Bid,40.62
Bid Size,600.0
Closing Price,40.65
Day Change $,-0.41
Day Change %,-0.01
Day High,42.94
Day Low,40.03
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",0.37
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.37
Last (size),1.0
Last (time),4:00p ET 05/08/20
Market Cap,8.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",110.85
Prev Close,41.06
Short Interest,0.0248
Today's Open,41.87
Volume,3377880.0
Volume 10-day Avg,2382641.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,
Growth Analysts,17.0
Growth 1yr Low Est,-0.4877049180327869
Growth 1yr High Est,0.08870967741935498
Growth 1yr Consensus Est,-0.19949762030671597
Growth 2yr Low Est,0.12414754098360653
Growth 2yr High Est,0.09805854241338119
Growth 2yr Consensus Est,0.11110304169849386
Growth 5yr Low Est,0.061600285643318375
Growth 5yr High Est,0.046916648166395514
Growth 5yr Consensus Est,0.054258466904856945
Growth 5yr Actual/Est,0.027996425169862504
Growth 3yr Historic,-0.006363857404705797
Price/Earnings (TTM),110.8475
Price/Sales (TTM),2.24987
Price/Book (MRQ),1.8983
Price/Cash Flow (TTM),22.08735
5yr Low,31.58
5yr High,68.98
5yr Avg Return,0.01875
EPS Growth 5yr,-0.1215175
Revenue Growth 5yr,0.0663257
Dividend Growth 5yr,0.0749667
Short Int Current Month,5414993.0
Short Int Prev Month,4267105.0
Short Int Pct of Float,0.0248067
Days to Cover,2.02687
Float,218.2434
Shares Outstanding,219.0261
Institutions Holding Shares,769.0
FCF Growth 5yr,0.07733666017490448
"Price/Earnings (TTM, GAAP)",110.85
"PEG Ratio (TTM, GAAP)",11.29
Gross Profit Margin (TTM),0.5391
Operating Profit Margin (TTM),0.0477
Net Profit Margin (TTM),0.0212
Annual Dividend Yield,0.0098
Dividend Change %,0.0714
"Dividend Growth Rate, 3 Years",0.0655
EPS Growth (MRQ),-2.3744
EPS Growth (TTM),1.0783
Revenue Growth (MRQ),-0.2134
Revenue Growth (TTM),-0.0048
Return On Equity (TTM),0.0171
Return On Assets (TTM),0.0101
Return On Investment (TTM),0.0113
Revenue Per Employee (TTM),260349.0
Total Debt/Total Capital (MRQ),0.23670000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),1.36
Interest Coverage (MRQ),
newConstructs,4
researchTeam,reduce
creditSuisse,outperform
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,3
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
creditSuisse since,2013-12-11 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-03-04 00:00:00
cfra since,2018-11-09 00:00:00
ford since,2020-03-06 00:00:00
