,CSX
% Below High,0.18
% Held by Institutions,0.7459
52-Wk Range,['46.81 - 80.62']
Annual Dividend $,1.04
Annual Dividend %,0.0163
Ask,67.22
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,64.76
Bid Size,200.0
Closing Price,66.11
Day Change $,2.19
Day Change %,0.034300000000000004
Day High,66.3
Day Low,64.68
Dividend Pay Date,2020-03-13 00:00:00
"EPS (TTM, GAAP)",4.15
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.446
Last (size),500.0
Last (time),3:59p ET 05/08/20
Market Cap,50.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.41
Prev Close,63.92
Short Interest,0.01
Today's Open,64.75
Volume,2830006.0
Volume 10-day Avg,5173300.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.32762836185819066
Growth 1yr High Est,-0.11162790697674418
Growth 1yr Consensus Est,-0.21962813441746742
Growth 2yr Low Est,0.018004000889086436
Growth 2yr High Est,0.03711798368440283
Growth 2yr Consensus Est,0.027560992286744634
Growth 5yr Low Est,0.20772778101963882
Growth 5yr High Est,0.22946787462608417
Growth 5yr Consensus Est,0.2185978278228615
Growth 5yr Actual/Est,0.19432274761782894
Growth 3yr Historic,0.18925748164878603
Price/Earnings (TTM),15.41251
Price/Sales (TTM),4.15388
Price/Book (MRQ),4.12165
Price/Cash Flow (TTM),10.56773
5yr Low,21.33
5yr High,80.73
5yr Avg Return,0.1440833333333333
EPS Growth 5yr,0.16776789999999997
Revenue Growth 5yr,-0.0118325
Dividend Growth 5yr,0.0878929
Short Int Current Month,7697237.0
Short Int Prev Month,7733526.0
Short Int Pct of Float,0.0100032
Days to Cover,1.75666
Float,764.5765
Shares Outstanding,765.4659
Institutions Holding Shares,1502.0
FCF Growth 5yr,0.4295508699459939
"Price/Earnings (TTM, GAAP)",15.41
"PEG Ratio (TTM, GAAP)",2.88
Gross Profit Margin (TTM),0.7770999999999999
Operating Profit Margin (TTM),0.418
Net Profit Margin (TTM),0.2774
Annual Dividend Yield,0.0163
Dividend Change %,0.0909
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),0.0039000000000000003
EPS Growth (TTM),0.0146
Revenue Growth (MRQ),-0.010400000000000001
Revenue Growth (TTM),-0.049100000000000005
Return On Equity (TTM),0.26890000000000003
Return On Assets (TTM),0.0849
Return On Investment (TTM),0.0897
Revenue Per Employee (TTM),560905.0
Total Debt/Total Capital (MRQ),0.5846
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.61
Interest Coverage (MRQ),6.3
newConstructs,3
researchTeam,hold
cfra,4
theStreet,buy
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2020-03-31 00:00:00
theStreet since,2009-06-17 00:00:00
ford since,2019-11-22 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2014-10-16 00:00:00
