,MGM
% Above Low,1.6422999999999999
% Held by Institutions,0.8667
52-Wk Range,['5.90 - 34.64']
Annual Dividend $,0.01
Annual Dividend %,0.0007000000000000001
Ask,15.67
Ask Size,13000.0
B/A Ratio,0.25384615384615383
B/A Size,3300x13000
Beta,2.2
Bid,15.57
Bid Size,3300.0
Closing Price,15.59
Day Change $,0.66
Day Change %,0.044199999999999996
Day High,15.71
Day Low,14.88
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",5.56
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.826
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,7.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.69
Prev Close,14.93
Short Interest,0.0572
Today's Open,15.33
Volume,23502788.0
Volume 10-day Avg,25450243.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.016853932584269593
Growth 2yr High Est,0.4444444444444444
Growth 2yr Consensus Est,0.230649188514357
Growth 5yr Low Est,0.016853932584269593
Growth 5yr High Est,0.4444444444444444
Growth 5yr Consensus Est,0.230649188514357
Growth 5yr Actual/Est,0.36212786513473805
Growth 3yr Historic,0.9020763187429854
Price/Earnings (TTM),2.68637
Price/Sales (TTM),0.6149
Price/Book (MRQ),0.90077
Price/Cash Flow (TTM),1.7833
5yr Low,5.9
5yr High,38.41
5yr Avg Return,0.03213333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0505253
Dividend Growth 5yr,
Short Int Current Month,27904591.0
Short Int Prev Month,17658797.0
Short Int Pct of Float,0.057180600000000005
Days to Cover,0.95964
Float,489.3501
Shares Outstanding,493.2177
Institutions Holding Shares,662.0
FCF Growth 5yr,0.46958670072546094
"Price/Earnings (TTM, GAAP)",2.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40049999999999997
Operating Profit Margin (TTM),0.4026
Net Profit Margin (TTM),0.23570000000000002
Annual Dividend Yield,0.0007000000000000001
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5809000000000001
EPS Growth (TTM),10.9845
Revenue Growth (MRQ),-0.2927
Revenue Growth (TTM),-0.0117
Return On Equity (TTM),0.3778
Return On Assets (TTM),0.0803
Return On Investment (TTM),0.1026
Revenue Per Employee (TTM),230300.0
Total Debt/Total Capital (MRQ),0.47200000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),2.85
Interest Coverage (MRQ),-1.15
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,hold
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-03 00:00:00
cfra since,2020-05-02 00:00:00
theStreet since,2020-03-13 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-08-13 00:00:00
