,Industry,SLB,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-1.07,,Valuation,
Price/Sales (TTM),0.85,0.77,Valuation,0.9058823529411765
Price/Book (MRQ),1.34,1.61,Valuation,1.2014925373134329
"PEG Ratio (TTM, GAAP)",0.0,,Valuation,
Gross Profit Margin (TTM),0.1748,0.127,Profitability,0.7265446224256292
Operating Profit Margin (TTM),-0.44930000000000003,-0.5696,Profitability,1.26774983307367
Net Profit Margin (TTM),-0.4644,-0.551,Profitability,1.186477174849268
Annual Dividend Yield,0.0415,0.027700000000000002,Dividend,0.6674698795180724
Dividend Change %,-0.0359,-0.2,Dividend,5.571030640668524
"Dividend Growth Rate, 3 Years",-0.015300000000000001,0.0,Dividend,-0.0
EPS Growth (MRQ),-72.516,-23.1185,Gowth rates,0.3188055049920018
EPS Growth (TTM),-49.7825,-9.8665,Gowth rates,0.1981921357906895
Revenue Growth (MRQ),-0.048499999999999995,-0.09390000000000001,Gowth rates,1.9360824742268046
Revenue Growth (TTM),-0.0095,-0.0113,Gowth rates,1.1894736842105262
Return On Equity (TTM),-0.47840000000000005,-0.6943,Effectiveness,1.4512959866220736
Return On Assets (TTM),-0.2504,-0.3011,Effectiveness,1.202476038338658
Return On Investment (TTM),-0.3113,-0.3846,Effectiveness,1.2354641824606487
Revenue Per Employee (TTM),369273.0,309457.0,Effectiveness,0.8380168601549531
Total Debt/Total Capital (MRQ),0.40640000000000004,0.5101,Financial strength,1.2551673228346456
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0046,Financial strength,1.5862068965517242
Quick Ratio (MRQ),1.36,0.91,Financial strength,0.6691176470588235
Interest Coverage (MRQ),0.93,5.06,Financial strength,5.440860215053763
