,INCY
% Below High,0.0848
% Held by Institutions,0.9114
52-Wk Range,['62.48 - 104.81']
Annual Dividend $,
Annual Dividend %,
Ask,98.2
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,94.13
Bid Size,200.0
Closing Price,95.92
Day Change $,-0.55
Day Change %,-0.005699999999999999
Day High,96.93
Day Low,94.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.74
Ex-dividend Date,No dividend
Historical Volatility,0.383
Last (size),7300.0
Last (time),3:59p ET 05/08/20
Market Cap,20.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,96.47
Short Interest,0.0336
Today's Open,96.88
Volume,1198601.0
Volume 10-day Avg,1601487.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-1.656
Growth 1yr High Est,-0.9565217391304348
Growth 1yr Consensus Est,-1.3062608695652174
Growth 2yr Low Est,-2.3462926829268294
Growth 2yr High Est,17.790969899665548
Growth 2yr Consensus Est,7.722338608369359
Growth 5yr Low Est,-0.9054649632210608
Growth 5yr High Est,12.324646599777033
Growth 5yr Consensus Est,5.709590818277985
Growth 5yr Actual/Est,-2.5941568878616046
Growth 3yr Historic,0.01035382101558574
Price/Earnings (TTM),
Price/Sales (TTM),9.40609
Price/Book (MRQ),10.80103
Price/Cash Flow (TTM),
5yr Low,55.0
5yr High,153.15
5yr Avg Return,0.012466666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.3337442
Dividend Growth 5yr,
Short Int Current Month,7227970.0
Short Int Prev Month,6146566.0
Short Int Pct of Float,0.0335839
Days to Cover,3.77795
Float,215.9476
Shares Outstanding,217.3734
Institutions Holding Shares,787.0
FCF Growth 5yr,-0.20971326920107963
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9562999999999999
Operating Profit Margin (TTM),-0.1507
Net Profit Margin (TTM),-0.16870000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-7.5438
EPS Growth (TTM),-2.4907
Revenue Growth (MRQ),-0.0188
Revenue Growth (TTM),0.1161
Return On Equity (TTM),-0.1869
Return On Assets (TTM),-0.1366
Return On Investment (TTM),-0.16210000000000002
Revenue Per Employee (TTM),1531188.0
Total Debt/Total Capital (MRQ),0.0258
Change in Debt/Total Capital Quarter over Quarter,0.0168
Quick Ratio (MRQ),3.38
Interest Coverage (MRQ),-16.35
newConstructs,4
researchTeam,hold
cfra,3
theStreet,hold
creditSuisse,neutral
ford,3
marketEdge opinion,long
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-06 00:00:00
cfra since,2019-09-26 00:00:00
theStreet since,2019-02-11 00:00:00
creditSuisse since,2019-05-20 00:00:00
ford since,2019-11-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
