,HON
% Above Low,0.35450000000000004
% Held by Institutions,0.7484999999999999
52-Wk Range,['101.08 - 184.06']
Annual Dividend $,3.6
Annual Dividend %,0.0271
Ask,137.49
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,1.1
Bid,137.0
Bid Size,300.0
Closing Price,136.91
Day Change $,4.12
Day Change %,0.031
Day High,137.32
Day Low,134.4
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",8.32
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.394
Last (size),8.0
Last (time),6:30p ET 05/08/20
Market Cap,96.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.97
Prev Close,132.79
Short Interest,0.0115
Today's Open,134.67
Volume,2740689.0
Volume 10-day Avg,3236592.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.2222222222222222
Growth 1yr High Est,-0.025766871165644134
Growth 1yr Consensus Est,-0.12399454669393317
Growth 2yr Low Est,-0.06349206349206343
Growth 2yr High Est,0.08157500270433155
Growth 2yr Consensus Est,0.009041469606134056
Growth 5yr Low Est,0.0032953499502186567
Growth 5yr High Est,0.0771992929506958
Growth 5yr Consensus Est,0.04024732145045723
Growth 5yr Actual/Est,0.0304225829792229
Growth 3yr Historic,0.036327217560328084
Price/Earnings (TTM),15.96951
Price/Sales (TTM),2.5683
Price/Book (MRQ),5.2818
Price/Cash Flow (TTM),12.96402
5yr Low,87.0
5yr High,184.06
5yr Avg Return,0.07506666666666666
EPS Growth 5yr,0.0853045
Revenue Growth 5yr,-0.018522
Dividend Growth 5yr,0.1243448
Short Int Current Month,8125552.0
Short Int Prev Month,7570595.0
Short Int Pct of Float,0.0115065
Days to Cover,2.291
Float,694.782
Shares Outstanding,701.8478
Institutions Holding Shares,2386.0
FCF Growth 5yr,0.0655501142655972
"Price/Earnings (TTM, GAAP)",15.97
"PEG Ratio (TTM, GAAP)",5.07
Gross Profit Margin (TTM),0.33880000000000005
Operating Profit Margin (TTM),0.2109
Net Profit Margin (TTM),0.1686
Annual Dividend Yield,0.0271
Dividend Change %,0.0998
"Dividend Growth Rate, 3 Years",0.111
EPS Growth (MRQ),0.14250000000000002
EPS Growth (TTM),-0.0131
Revenue Growth (MRQ),-0.10880000000000001
Revenue Growth (TTM),-0.0994
Return On Equity (TTM),0.3311
Return On Assets (TTM),0.10550000000000001
Return On Investment (TTM),0.1557
Revenue Per Employee (TTM),321133.0
Total Debt/Total Capital (MRQ),0.47409999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),400.4
newConstructs,2
researchTeam,reduce
theStreet,buy
creditSuisse,outperform
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2018-04-23 00:00:00
creditSuisse since,2019-01-03 00:00:00
cfra since,2019-04-18 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
