,TAP
% Above Low,0.1435
% Held by Institutions,0.9007
52-Wk Range,['34.01 - 61.94']
Annual Dividend $,2.28
Annual Dividend %,0.060599999999999994
Ask,39.5
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.9
Bid,38.0
Bid Size,300.0
Closing Price,38.89
Day Change $,1.29
Day Change %,0.034300000000000004
Day High,39.06
Day Low,37.96
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",-0.13
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.396
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,8.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,37.6
Short Interest,0.0718
Today's Open,38.37
Volume,1594120.0
Volume 10-day Avg,2492391.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.0287474332648872
Growth 1yr High Est,-0.24950884086444014
Growth 1yr Consensus Est,-0.6391281370646636
Growth 2yr Low Est,-11.550088002346728
Growth 2yr High Est,-0.09726750943745566
Growth 2yr Consensus Est,-5.823677755892092
Growth 5yr Low Est,-5.7337760585896325
Growth 5yr High Est,-0.01331985337343633
Growth 5yr Consensus Est,-2.8735479559815342
Growth 5yr Actual/Est,-0.032172374004247245
Growth 3yr Historic,0.007077607329285224
Price/Earnings (TTM),
Price/Sales (TTM),0.82081
Price/Book (MRQ),0.66367
Price/Cash Flow (TTM),9.63373
5yr Low,34.01
5yr High,112.19
5yr Avg Return,-0.08121666666666666
EPS Growth 5yr,-0.16584890000000002
Revenue Growth 5yr,0.20603539999999998
Dividend Growth 5yr,0.057788599999999996
Short Int Current Month,12453809.0
Short Int Prev Month,11853128.0
Short Int Pct of Float,0.0717516
Days to Cover,7.16296
Float,176.2372
Shares Outstanding,216.5838
Institutions Holding Shares,765.0
FCF Growth 5yr,0.2990131420924222
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3791
Operating Profit Margin (TTM),0.0433
Net Profit Margin (TTM),-0.0018
Annual Dividend Yield,0.058600000000000006
Dividend Change %,0.19510000000000002
"Dividend Growth Rate, 3 Years",0.061200000000000004
EPS Growth (MRQ),-1.7154
EPS Growth (TTM),-1.0276
Revenue Growth (MRQ),-0.1542
Revenue Growth (TTM),-0.0337
Return On Equity (TTM),-0.002
Return On Assets (TTM),-0.0006
Return On Investment (TTM),-0.0007000000000000001
Revenue Per Employee (TTM),586379.0
Total Debt/Total Capital (MRQ),0.4227
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.42
Interest Coverage (MRQ),0.66
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,0
creditSuisse,underperform
cfra,3
theStreet,hold
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2019-06-10 00:00:00
cfra since,2020-03-21 00:00:00
theStreet since,2020-03-10 00:00:00
ford since,2020-04-17 00:00:00
