,AZO
% Below High,0.1699
% Held by Institutions,0.9486
52-Wk Range,"['684.91 - 1,274.41']"
Annual Dividend $,
Annual Dividend %,
Ask,1175.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,1057.92
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,1057.9
Day Change $,45.74
Day Change %,0.0452
Day High,1059.69
Day Low,1017.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",65.5
Ex-dividend Date,No dividend
Historical Volatility,0.42100000000000004
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,24.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.45
Prev Close,1012.16
Short Interest,0.0225
Today's Open,1032.34
Volume,203801.0
Volume 10-day Avg,236111.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-05-26 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.11292962356792147
Growth 1yr High Est,0.0516669300047401
Growth 1yr Consensus Est,-0.030631346781590685
Growth 2yr Low Est,-0.030634553481377724
Growth 2yr High Est,0.08570425827160078
Growth 2yr Consensus Est,0.027534852395111525
Growth 5yr Low Est,0.08044540087943405
Growth 5yr High Est,0.13946227606818962
Growth 5yr Consensus Est,0.10995383847381184
Growth 5yr Actual/Est,0.11758748327848015
Growth 3yr Historic,0.1005247316913887
Price/Earnings (TTM),15.45238
Price/Sales (TTM),1.95696
Price/Book (MRQ),
Price/Cash Flow (TTM),11.78905
5yr Low,491.13
5yr High,1274.41
5yr Avg Return,0.08938333333333334
EPS Growth 5yr,0.1484618
Revenue Growth 5yr,0.045985399999999996
Dividend Growth 5yr,
Short Int Current Month,528530.0
Short Int Prev Month,466657.0
Short Int Pct of Float,0.0225239
Days to Cover,1.60455
Float,23.23358
Shares Outstanding,23.35243
Institutions Holding Shares,1040.0
FCF Growth 5yr,0.10521822940455368
"Price/Earnings (TTM, GAAP)",15.45
"PEG Ratio (TTM, GAAP)",1.76
Gross Profit Margin (TTM),0.5373
Operating Profit Margin (TTM),0.18510000000000001
Net Profit Margin (TTM),0.1342
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.134
EPS Growth (TTM),0.2487
Revenue Growth (MRQ),-0.1
Revenue Growth (TTM),0.0678
Return On Equity (TTM),
Return On Assets (TTM),0.1434
Return On Investment (TTM),0.282
Revenue Per Employee (TTM),216921.0
Total Debt/Total Capital (MRQ),1.4347
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),0.12
Interest Coverage (MRQ),9.2
newConstructs,1
researchTeam,hold
cfra,5
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
theStreet,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2020-03-04 00:00:00
ford since,2020-02-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2016-02-09 00:00:00
theStreet since,
