,AZO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.45,21.72,Valuation,0.7113259668508287
Price/Sales (TTM),1.96,207.17,Valuation,0.009460829270647295
Price/Book (MRQ),,29.12,Valuation,
"PEG Ratio (TTM, GAAP)",1.76,1.15,Valuation,1.5304347826086957
Gross Profit Margin (TTM),0.5373,0.3346,Profitability,1.605797967722654
Operating Profit Margin (TTM),0.18510000000000001,0.0717,Profitability,2.581589958158996
Net Profit Margin (TTM),0.1342,0.0391,Profitability,3.432225063938619
Annual Dividend Yield,,0.019,Dividend,
Dividend Change %,,0.17690000000000003,Dividend,
"Dividend Growth Rate, 3 Years",,0.16649999999999998,Dividend,
EPS Growth (MRQ),-0.134,0.3321,Gowth rates,-0.40349292381812707
EPS Growth (TTM),0.2487,0.18850000000000003,Gowth rates,1.319363395225464
Revenue Growth (MRQ),-0.1,0.032400000000000005,Gowth rates,-3.0864197530864192
Revenue Growth (TTM),0.0678,0.056100000000000004,Gowth rates,1.2085561497326203
Return On Equity (TTM),,0.509,Effectiveness,
Return On Assets (TTM),0.1434,0.1518,Effectiveness,0.9446640316205535
Return On Investment (TTM),0.282,0.2416,Effectiveness,1.1672185430463575
Revenue Per Employee (TTM),216921.0,322581.0,Effectiveness,0.6724543603002037
Total Debt/Total Capital (MRQ),1.4347,0.7836,Financial strength,1.830908626850434
Change in Debt/Total Capital Quarter over Quarter,-0.0016,-0.0008,Financial strength,2.0
Quick Ratio (MRQ),0.12,0.38,Financial strength,0.3157894736842105
Interest Coverage (MRQ),9.2,14.0,Financial strength,0.6571428571428571
