,NI
% Above Low,0.18969999999999998
% Held by Institutions,0.9284
52-Wk Range,['19.56 - 30.67']
Annual Dividend $,0.84
Annual Dividend %,0.036699999999999997
Ask,25.82
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.3
Bid,22.71
Bid Size,500.0
Closing Price,23.27
Day Change $,0.37
Day Change %,0.016200000000000003
Day High,23.39
Day Low,22.97
Dividend Pay Date,2020-05-20 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.42100000000000004
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,8.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",46.7
Prev Close,22.9
Short Interest,0.0171
Today's Open,23.13
Volume,3748904.0
Volume 10-day Avg,3286356.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.055118110236220486
Growth 1yr High Est,0.07575757575757569
Growth 1yr Consensus Est,0.010319732760677602
Growth 2yr Low Est,0.014107611548556498
Growth 2yr High Est,0.06604780196329496
Growth 2yr Consensus Est,0.04007770675592573
Growth 5yr Low Est,0.028059457828317397
Growth 5yr High Est,0.05326349745075215
Growth 5yr Consensus Est,0.040661477639534774
Growth 5yr Actual/Est,0.037592710319983014
Growth 3yr Historic,0.022441195168467876
Price/Earnings (TTM),46.70229
Price/Sales (TTM),1.77286
Price/Book (MRQ),1.80271
Price/Cash Flow (TTM),9.61934
5yr Low,16.04
5yr High,49.16
5yr Avg Return,-0.05646666666666666
EPS Growth 5yr,0.015135099999999999
Revenue Growth 5yr,-0.0024205
Dividend Growth 5yr,-0.0474277
Short Int Current Month,6515129.0
Short Int Prev Month,5648325.0
Short Int Pct of Float,0.017095199999999998
Days to Cover,2.48123
Float,381.2115
Shares Outstanding,382.7995
Institutions Holding Shares,678.0
FCF Growth 5yr,-1.8489365153515358
"Price/Earnings (TTM, GAAP)",47.46
"PEG Ratio (TTM, GAAP)",9.18
Gross Profit Margin (TTM),0.46270000000000006
Operating Profit Margin (TTM),0.1344
Net Profit Margin (TTM),0.048499999999999995
Annual Dividend Yield,0.0361
Dividend Change %,0.0256
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),1.3965
EPS Growth (TTM),2.2598
Revenue Growth (MRQ),0.1491
Revenue Growth (TTM),-0.0552
Return On Equity (TTM),0.0378
Return On Assets (TTM),0.0108
Return On Investment (TTM),0.013200000000000002
Revenue Per Employee (TTM),591247.0
Total Debt/Total Capital (MRQ),0.6323
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),4.7
newConstructs,3
researchTeam,reduce
theStreet,hold
marketEdge opinion,avoid
marketEdge,0
cfra,3
creditSuisse,outperform
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-13 00:00:00
theStreet since,2020-03-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-08-02 00:00:00
creditSuisse since,2020-02-28 00:00:00
ford since,2020-05-01 00:00:00
