,HOLX
% Below High,0.059000000000000004
% Held by Institutions,0.9764
52-Wk Range,['26.49 - 55.25']
Annual Dividend $,
Annual Dividend %,
Ask,52.3
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.4
Bid,52.1
Bid Size,400.0
Closing Price,51.99
Day Change $,-0.95
Day Change %,-0.0179
Day High,53.4
Day Low,51.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.68
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),5.0
Last (time),4:15p ET 05/08/20
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",31.46
Prev Close,52.94
Short Interest,0.0167
Today's Open,53.22
Volume,2155156.0
Volume 10-day Avg,3668970.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.15702479338842967
Growth 1yr High Est,0.06530612244897949
Growth 1yr Consensus Est,-0.04585933546972509
Growth 2yr Low Est,0.021977799384216623
Growth 2yr High Est,0.2452967393854093
Growth 2yr Consensus Est,0.13363726938481296
Growth 5yr Low Est,0.06381445251766116
Growth 5yr High Est,0.17341275229836617
Growth 5yr Consensus Est,0.11861360240801366
Growth 5yr Actual/Est,0.08742243690596868
Growth 3yr Historic,0.04705206653559835
Price/Earnings (TTM),31.45536
Price/Sales (TTM),4.11122
Price/Book (MRQ),6.5525
Price/Cash Flow (TTM),15.78636
5yr Low,26.49
5yr High,55.25
5yr Avg Return,0.09351666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0587861
Dividend Growth 5yr,
Short Int Current Month,4373249.0
Short Int Prev Month,2571862.0
Short Int Pct of Float,0.016654500000000003
Days to Cover,1.6233
Float,257.3452
Shares Outstanding,258.2057
Institutions Holding Shares,718.0
FCF Growth 5yr,-1.7141817894094102
"Price/Earnings (TTM, GAAP)",31.46
"PEG Ratio (TTM, GAAP)",4.78
Gross Profit Margin (TTM),0.5275
Operating Profit Margin (TTM),0.1023
Net Profit Margin (TTM),0.1356
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7456999999999999
EPS Growth (TTM),16.7837
Revenue Growth (MRQ),-0.111
Revenue Growth (TTM),0.0117
Return On Equity (TTM),0.2133
Return On Assets (TTM),0.0676
Return On Investment (TTM),0.0834
Revenue Per Employee (TTM),513260.0
Total Debt/Total Capital (MRQ),0.631
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),5.97
theStreet,hold
newConstructs,4
researchTeam,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,
theStreet since,2020-03-26 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2013-05-07 00:00:00
ford since,2020-04-03 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
