,HOLX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.46,41.85,Valuation,0.7517323775388292
Price/Sales (TTM),4.11,9.88,Valuation,0.4159919028340081
Price/Book (MRQ),6.55,13.88,Valuation,0.47190201729106623
"PEG Ratio (TTM, GAAP)",4.78,0.58,Valuation,8.24137931034483
Gross Profit Margin (TTM),0.5275,0.6071,Profitability,0.8688848624608796
Operating Profit Margin (TTM),0.1023,-0.0415,Profitability,-2.4650602409638553
Net Profit Margin (TTM),0.1356,-0.045,Profitability,-3.013333333333333
Annual Dividend Yield,,0.0079,Dividend,
Dividend Change %,,0.0582,Dividend,
"Dividend Growth Rate, 3 Years",,0.049,Dividend,
EPS Growth (MRQ),-0.7456999999999999,8.9487,Gowth rates,-0.08333053963145483
EPS Growth (TTM),16.7837,0.7232,Gowth rates,23.207549778761063
Revenue Growth (MRQ),-0.111,0.1048,Gowth rates,-1.0591603053435115
Revenue Growth (TTM),0.0117,0.1169,Gowth rates,0.10008554319931566
Return On Equity (TTM),0.2133,0.2389,Effectiveness,0.8928421933863541
Return On Assets (TTM),0.0676,0.0707,Effectiveness,0.9561527581329561
Return On Investment (TTM),0.0834,0.08630000000000002,Effectiveness,0.9663962920046348
Revenue Per Employee (TTM),513260.0,329144.0,Effectiveness,1.5593782660476874
Total Debt/Total Capital (MRQ),0.631,0.35850000000000004,Financial strength,1.7601115760111574
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0015,Financial strength,0.6
Quick Ratio (MRQ),1.04,1.99,Financial strength,0.5226130653266332
Interest Coverage (MRQ),5.97,10.05,Financial strength,0.5940298507462686
