,2015,2016,2017,2018,2019,2020,2014,Report
high,38.97,44.61,48.78,53.79,77.54,79.92,,
low,32.48,31.69,41.33,44.75,47.41,43.05,,
change,0.0994,0.228,0.0726,0.0285,0.4228,-0.2556,,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,,,2014-12-31 00:00:00,Balance Sheet
Cash & Equivalents,764.0,795.0,950.0,818.0,,,674.0,Balance Sheet
"Total Receivables, Net",383.0,485.0,189.0,347.0,,,371.0,Balance Sheet
Prop./Plant/Equip. - Net,348.0,349.0,423.0,416.0,,,332.0,Balance Sheet
"Goodwill, Net",153.0,145.0,179.0,173.0,,,151.0,Balance Sheet
Long Term Investments,14415.0,15465.0,15981.0,15766.0,,,14860.0,Balance Sheet
Insurance Receivables,1669.0,1702.0,1774.0,1808.0,,,1651.0,Balance Sheet
Note Rcvble - Long Term,56.0,15.0,0.0,1.0,,,68.0,Balance Sheet
Def. Policy Acq. Costs,513.0,538.0,508.0,498.0,,,489.0,Balance Sheet
Accrued Investment Income,123.0,127.0,137.0,144.0,,,120.0,Balance Sheet
Reinsurance - Asset,1533.0,1744.0,1783.0,1932.0,,,1503.0,Balance Sheet
Other Assets,1774.0,2001.0,2376.0,2957.0,,,1497.0,Balance Sheet
"Other Assets, Total",3430.0,3872.0,4296.0,5034.0,,,3121.0,Balance Sheet
Total Assets,21731.0,23365.0,24300.0,24896.0,,,21717.0,Balance Sheet
Insurance Reserves,10669.0,11197.0,11670.0,11966.0,,,10370.0,Balance Sheet
Unearned Prem. Or Rev.,3137.0,3283.0,3290.0,3360.0,,,3027.0,Balance Sheet
Reinsurance - Liability,225.0,213.0,246.0,257.0,,,237.0,Balance Sheet
Policy Liabilities,14031.0,14694.0,15207.0,15583.0,,,13634.0,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,,,0.0,Balance Sheet
"Other Curr. Lblts, Total",,0.0,11.0,0.0,,,,Balance Sheet
Total Long Term Debt,2185.0,2488.0,2497.0,2790.0,,,2456.0,Balance Sheet
Total Debt,2185.0,2488.0,2497.0,2790.0,,,2456.0,Balance Sheet
Deferred Income Tax,7.0,134.0,87.0,0.0,,,37.0,Balance Sheet
Minority Interest,33.0,34.0,40.0,42.0,,,34.0,Balance Sheet
"Other Liabilities, Total",875.0,967.0,1046.0,1043.0,,,966.0,Balance Sheet
Total Liabilities,17131.0,18318.0,18889.0,19458.0,,,17127.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,0.0,0.0,0.0,,,0.0,Balance Sheet
Common Stock,47.0,47.0,47.0,47.0,,,47.0,Balance Sheet
Additional Paid-In Capital,1005.0,1037.0,1048.0,1063.0,,,992.0,Balance Sheet
Ret. Earn.(Accum. Deficit),6178.0,6596.0,6957.0,7559.0,,,5732.0,Balance Sheet
Treasury Stock - Common,-2564.0,-2689.0,-2709.0,-2720.0,,,-2365.0,Balance Sheet
Unrealized Gain (Loss),181.0,427.0,375.0,-91.0,,,,Balance Sheet
Cum. Trans. Adjustment,-247.0,-372.0,-307.0,-419.0,,,,Balance Sheet
Min. Pension Lblty Adj.,0.0,,,,,,,Balance Sheet
Other Comprehensive Income,,,,,,,184.0,Balance Sheet
"Other Equity, Total",-247.0,-372.0,-307.0,-419.0,,,184.0,Balance Sheet
Total Equity,4600.0,5047.0,5411.0,5438.0,,,4590.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,21731.0,23365.0,24300.0,24896.0,,,21717.0,Balance Sheet
Ttl Comm. Shares Outs.,185.0,182.0,182.0,183.0,,,190.0,Balance Sheet
