,WRB
Price/Earnings (TTM),20.13209
Price/Sales (TTM),1.189
Price/Book (MRQ),1.69346
Price/Cash Flow (TTM),15.15961
5yr Low,31.69
5yr High,79.92
5yr Avg Return,0.09928333333333333
EPS Growth 5yr,0.017147
Revenue Growth 5yr,0.0208095
Dividend Growth 5yr,0.040052199999999996
Short Int Current Month,1584145.0
Short Int Prev Month,1815777.0
Short Int Pct of Float,0.0112391
Days to Cover,1.6722
Float,136.2487
Shares Outstanding,178.7243
Institutions Holding Shares,667.0
% Held by Institutions,0.7130249999999999
FCF Growth 5yr,2.407665006522348
