,WRB
% Above Low,0.2016
% Held by Institutions,0.713
52-Wk Range,['43.05 - 79.92']
Annual Dividend $,0.44
Annual Dividend %,0.0086
Ask,71.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.8
Bid,48.5
Bid Size,400.0
Closing Price,51.73
Day Change $,0.6
Day Change %,0.011699999999999999
Day High,52.33
Day Low,50.7
Dividend Pay Date,2020-03-25 00:00:00
"EPS (TTM, GAAP)",2.57
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.43100000000000005
Last (size),4400.0
Last (time),6:30p ET 05/08/20
Market Cap,9.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.13
Prev Close,51.13
Short Interest,0.011200000000000002
Today's Open,52.11
Volume,732114.0
Volume 10-day Avg,875020.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.2218543046357616
Growth 1yr High Est,-0.09032258064516141
Growth 1yr Consensus Est,-0.1560884426404615
Growth 2yr Low Est,-0.02582076933915739
Growth 2yr High Est,0.055902539464653345
Growth 2yr Consensus Est,0.015040885062747977
Growth 5yr Low Est,0.08735911887652059
Growth 5yr High Est,0.12233928524886403
Growth 5yr Consensus Est,0.10484920206269231
Growth 5yr Actual/Est,0.2109688979779278
Growth 3yr Historic,0.1944760687732342
Price/Earnings (TTM),20.13209
Price/Sales (TTM),1.189
Price/Book (MRQ),1.69346
Price/Cash Flow (TTM),15.15961
5yr Low,31.69
5yr High,79.92
5yr Avg Return,0.09928333333333333
EPS Growth 5yr,0.017147
Revenue Growth 5yr,0.0208095
Dividend Growth 5yr,0.040052199999999996
Short Int Current Month,1584145.0
Short Int Prev Month,1815777.0
Short Int Pct of Float,0.0112391
Days to Cover,1.6722
Float,136.2487
Shares Outstanding,178.7243
Institutions Holding Shares,667.0
FCF Growth 5yr,2.407665006522348
"Price/Earnings (TTM, GAAP)",20.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.09269999999999999
Net Profit Margin (TTM),0.06420000000000001
Annual Dividend Yield,0.0085
Dividend Change %,0.0932
"Dividend Growth Rate, 3 Years",0.0079
EPS Growth (MRQ),-1.0376
EPS Growth (TTM),-0.2187
Revenue Growth (MRQ),-0.0837
Revenue Growth (TTM),0.0042
Return On Equity (TTM),0.0883
Return On Assets (TTM),0.0193
Return On Investment (TTM),
Revenue Per Employee (TTM),1037740.0
Total Debt/Total Capital (MRQ),0.3221
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.57
researchTeam,reduce
newConstructs,3
marketEdge opinion,avoid
marketEdge,1
cfra,3
theStreet,hold
ford,3
creditSuisse,outperform
researchTeam since,2020-03-02 00:00:00
newConstructs since,2020-05-08 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2017-04-11 00:00:00
theStreet since,2020-04-22 00:00:00
ford since,2020-01-31 00:00:00
creditSuisse since,2019-02-27 00:00:00
