,PSX
% Above Low,0.9246
% Held by Institutions,0.6724
52-Wk Range,['40.04 - 119.92']
Annual Dividend $,3.6
Annual Dividend %,0.049100000000000005
Ask,77.4
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.6
Bid,77.15
Bid Size,200.0
Closing Price,77.06
Day Change $,3.75
Day Change %,0.0512
Day High,77.44
Day Low,73.78
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",0.79
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.554
Last (size),357.0
Last (time),6:30p ET 05/08/20
Market Cap,33.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",98.15
Prev Close,73.31
Short Interest,0.013600000000000001
Today's Open,74.63
Volume,3278985.0
Volume 10-day Avg,5058893.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-1.1689785624211855
Growth 1yr High Est,-0.29561200923787534
Growth 1yr Consensus Est,-0.7322952858295304
Growth 2yr Low Est,-2.215086296135966
Growth 2yr High Est,0.11530874947942304
Growth 2yr Consensus Est,-1.0498887733282714
Growth 5yr Low Est,-0.8740065627021292
Growth 5yr High Est,0.29858407995513103
Growth 5yr Consensus Est,-0.28771124137349907
Growth 5yr Actual/Est,0.5887765882510378
Growth 3yr Historic,0.340240652137462
Price/Earnings (TTM),98.15435
Price/Sales (TTM),0.32244
Price/Book (MRQ),1.5745
Price/Cash Flow (TTM),16.22476
5yr Low,40.04
5yr High,123.97
5yr Avg Return,0.010166666666666668
EPS Growth 5yr,-0.0062797999999999994
Revenue Growth 5yr,-0.0779464
Dividend Growth 5yr,0.1311527
Short Int Current Month,5943186.0
Short Int Prev Month,6072214.0
Short Int Pct of Float,0.013619000000000001
Days to Cover,1.50326
Float,436.3158
Shares Outstanding,436.6747
Institutions Holding Shares,1728.0
FCF Growth 5yr,2.366726527899489
"Price/Earnings (TTM, GAAP)",98.15
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.10439999999999999
Operating Profit Margin (TTM),-0.0146
Net Profit Margin (TTM),0.0069
Annual Dividend Yield,0.0467
Dividend Change %,0.129
"Dividend Growth Rate, 3 Years",0.1262
EPS Growth (MRQ),-4.2463
EPS Growth (TTM),-0.9308
Revenue Growth (MRQ),-0.3079
Revenue Growth (TTM),-0.059500000000000004
Return On Equity (TTM),0.0181
Return On Assets (TTM),0.013000000000000001
Return On Investment (TTM),0.0171
Revenue Per Employee (TTM),7197380.0
Total Debt/Total Capital (MRQ),0.3542
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),0.61
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
creditSuisse,outperform
marketEdge opinion,long
marketEdge,0
cfra,4
theStreet,hold
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
creditSuisse since,2020-03-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-01-31 00:00:00
theStreet since,2020-03-12 00:00:00
ford since,2019-12-13 00:00:00
