,Industry,PSX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-28.15,98.15,Valuation,-3.4866785079928957
Price/Sales (TTM),3.28,0.32,Valuation,0.0975609756097561
Price/Book (MRQ),2.45,1.57,Valuation,0.6408163265306123
"PEG Ratio (TTM, GAAP)",0.22,,Valuation,
Gross Profit Margin (TTM),0.3971,0.10439999999999999,Profitability,0.2629060690002518
Operating Profit Margin (TTM),-0.0117,-0.0146,Profitability,1.2478632478632479
Net Profit Margin (TTM),-0.0143,0.0069,Profitability,-0.4825174825174825
Annual Dividend Yield,0.0646,0.0467,Dividend,0.7229102167182662
Dividend Change %,0.1448,0.129,Dividend,0.8908839779005524
"Dividend Growth Rate, 3 Years",0.0892,0.1262,Dividend,1.4147982062780269
EPS Growth (MRQ),-3.6646,-4.2463,Gowth rates,1.158734923320417
EPS Growth (TTM),-1.2943,-0.9308,Gowth rates,0.7191532102294677
Revenue Growth (MRQ),0.0467,-0.3079,Gowth rates,-6.593147751605996
Revenue Growth (TTM),-0.014499999999999999,-0.059500000000000004,Gowth rates,4.103448275862069
Return On Equity (TTM),0.0453,0.0181,Effectiveness,0.3995584988962473
Return On Assets (TTM),0.015600000000000001,0.013000000000000001,Effectiveness,0.8333333333333334
Return On Investment (TTM),0.024900000000000002,0.0171,Effectiveness,0.6867469879518072
Revenue Per Employee (TTM),3747263.0,7197380.0,Effectiveness,1.9207031905686898
Total Debt/Total Capital (MRQ),0.38,0.3542,Financial strength,0.9321052631578948
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0024,Financial strength,1.4117647058823528
Quick Ratio (MRQ),0.81,0.61,Financial strength,0.7530864197530863
Interest Coverage (MRQ),3.41,,Financial strength,
