,MS
% Above Low,0.47350000000000003
% Held by Institutions,0.6104999999999999
52-Wk Range,['27.20 - 57.57']
Annual Dividend $,1.4
Annual Dividend %,0.0361
Ask,40.2
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,40.11
Bid Size,100.0
Closing Price,40.08
Day Change $,1.27
Day Change %,0.0327
Day High,40.17
Day Low,39.2
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",4.81
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.512
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,63.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.07
Prev Close,38.81
Short Interest,0.0458
Today's Open,39.51
Volume,12097712.0
Volume 10-day Avg,11562703.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.49148936170212765
Growth 1yr High Est,-0.16199999999999992
Growth 1yr Consensus Est,-0.3267446808510638
Growth 2yr Low Est,-0.044907860767381846
Growth 2yr High Est,0.039525059665871165
Growth 2yr Consensus Est,-0.0026914005507553407
Growth 5yr Low Est,0.07934247680193784
Growth 5yr High Est,0.11036198487380755
Growth 5yr Consensus Est,0.0948522308378727
Growth 5yr Actual/Est,0.08800107880797489
Growth 3yr Historic,0.10278511862814188
Price/Earnings (TTM),8.07458
Price/Sales (TTM),1.17836
Price/Book (MRQ),0.7906
Price/Cash Flow (TTM),5.65221
5yr Low,21.16
5yr High,59.38
5yr Avg Return,0.046449999999999984
EPS Growth 5yr,0.2643059
Revenue Growth 5yr,0.0723693
Dividend Growth 5yr,0.3000949
Short Int Current Month,54612302.0
Short Int Prev Month,49486119.0
Short Int Pct of Float,0.0457719
Days to Cover,3.29415
Float,1193.693
Shares Outstanding,1575.656
Institutions Holding Shares,1443.0
FCF Growth 5yr,0.015046367843021002
"Price/Earnings (TTM, GAAP)",8.07
"PEG Ratio (TTM, GAAP)",149.53
Gross Profit Margin (TTM),0.7319
Operating Profit Margin (TTM),0.2022
Net Profit Margin (TTM),0.16469999999999999
Annual Dividend Yield,0.0361
Dividend Change %,0.1818
"Dividend Growth Rate, 3 Years",0.22920000000000001
EPS Growth (MRQ),-0.2238
EPS Growth (TTM),0.0318
Revenue Growth (MRQ),-0.1302
Revenue Growth (TTM),0.0217
Return On Equity (TTM),0.1039
Return On Assets (TTM),0.0094
Return On Investment (TTM),0.0187
Revenue Per Employee (TTM),858748.0
Total Debt/Total Capital (MRQ),0.8451000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
creditSuisse,outperform
theStreet,hold
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-07-19 00:00:00
creditSuisse since,2017-10-09 00:00:00
theStreet since,2020-03-23 00:00:00
ford since,2020-04-09 00:00:00
