,SO
% Above Low,0.32049999999999995
% Held by Institutions,0.5927
52-Wk Range,['41.96 - 71.10']
Annual Dividend $,2.56
Annual Dividend %,0.0472
Ask,55.5
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.5
Bid,55.26
Bid Size,100.0
Closing Price,55.41
Day Change $,1.18
Day Change %,0.0218
Day High,55.64
Day Low,54.55
Dividend Pay Date,2020-06-08 00:00:00
"EPS (TTM, GAAP)",3.34
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.434
Last (size),15.0
Last (time),6:30p ET 05/08/20
Market Cap,58.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",16.61
Prev Close,54.23
Short Interest,0.0118
Today's Open,54.81
Volume,4349403.0
Volume 10-day Avg,4764182.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.01650165016501648
Growth 1yr High Est,0.022364217252396346
Growth 1yr Consensus Est,0.002931283543689933
Growth 2yr Low Est,0.03705118834031057
Growth 2yr High Est,0.036182108626198084
Growth 2yr Consensus Est,0.03661664848325433
Growth 5yr Low Est,0.028741681303942862
Growth 5yr High Est,0.028827300267791622
Growth 5yr Consensus Est,0.028784490785867242
Growth 5yr Actual/Est,0.023310248619924145
Growth 3yr Historic,0.007396401837910127
Price/Earnings (TTM),16.6115
Price/Sales (TTM),2.78567
Price/Book (MRQ),
Price/Cash Flow (TTM),8.55268
5yr Low,41.4
5yr High,71.1
5yr Avg Return,0.05576666666666665
EPS Growth 5yr,0.15592599999999998
Revenue Growth 5yr,0.0301028
Dividend Growth 5yr,0.0338797
Short Int Current Month,12433762.0
Short Int Prev Month,14578837.0
Short Int Pct of Float,0.0117829
Days to Cover,2.30561
Float,1055.526
Shares Outstanding,1057.007
Institutions Holding Shares,1700.0
FCF Growth 5yr,0.25834577680009
"Price/Earnings (TTM, GAAP)",16.61
"PEG Ratio (TTM, GAAP)",3.82
Gross Profit Margin (TTM),0.3473
Operating Profit Margin (TTM),0.2525
Net Profit Margin (TTM),0.1677
Annual Dividend Yield,0.046200000000000005
Dividend Change %,0.0336
"Dividend Growth Rate, 3 Years",0.0344
EPS Growth (MRQ),0.9794
EPS Growth (TTM),0.0383
Revenue Growth (MRQ),0.0212
Revenue Growth (TTM),-0.067
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),752425.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.96
newConstructs,4
researchTeam,reduce
cfra,3
creditSuisse,neutral
theStreet,buy
ford,2
marketEdge opinion,avoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-13 00:00:00
cfra since,2019-10-30 00:00:00
creditSuisse since,2020-05-04 00:00:00
theStreet since,2018-06-05 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
