,Industry,Type,VFC,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.45,Valuation,17.42,0.6844793713163065
Price/Sales (TTM),3.28,Valuation,1.87,0.5701219512195123
Price/Book (MRQ),12.03,Valuation,5.03,0.4181213632585204
"PEG Ratio (TTM, GAAP)",1.0,Valuation,2.4,2.4
Gross Profit Margin (TTM),0.4827,Profitability,0.5357999999999999,1.1100062150403975
Operating Profit Margin (TTM),0.12090000000000001,Profitability,0.1192,0.9859387923904053
Net Profit Margin (TTM),0.102,Profitability,0.1094,1.072549019607843
Annual Dividend Yield,0.0117,Dividend,0.033,2.8205128205128207
Dividend Change %,0.0692,Dividend,,
"Dividend Growth Rate, 3 Years",0.0758,Dividend,,
EPS Growth (MRQ),-0.3258,Gowth rates,-0.299,0.9177409453652547
EPS Growth (TTM),0.2535,Gowth rates,0.1492,0.588560157790927
Revenue Growth (MRQ),0.09380000000000001,Gowth rates,-0.0025,-0.026652452025586353
Revenue Growth (TTM),0.0782,Gowth rates,0.054400000000000004,0.6956521739130435
Return On Equity (TTM),0.3899,Effectiveness,0.30260000000000004,0.7760964349833291
Return On Assets (TTM),0.1565,Effectiveness,0.1272,0.812779552715655
Return On Investment (TTM),0.21960000000000002,Effectiveness,0.16190000000000002,0.7372495446265939
Revenue Per Employee (TTM),452597.0,Effectiveness,163500.0,0.36124852793986706
Total Debt/Total Capital (MRQ),0.25680000000000003,Financial strength,0.3222,1.2546728971962615
Change in Debt/Total Capital Quarter over Quarter,-0.0009,Financial strength,-0.0027,3.0000000000000004
Quick Ratio (MRQ),1.37,Financial strength,1.32,0.9635036496350364
Interest Coverage (MRQ),406.61,Financial strength,34.66,0.08524138609478368
