,VFC
% Above Low,0.292
% Held by Institutions,0.7702
52-Wk Range,['45.07 - 100.25']
Annual Dividend $,1.92
Annual Dividend %,0.0335
Ask,58.35
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.2
Bid,58.23
Bid Size,300.0
Closing Price,58.23
Day Change $,0.95
Day Change %,0.0166
Day High,59.21
Day Low,58.09
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",3.34
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.517
Last (size),28.0
Last (time),6:30p ET 05/08/20
Market Cap,23.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.42
Prev Close,57.28
Short Interest,0.0166
Today's Open,58.44
Volume,2020104.0
Volume 10-day Avg,2779717.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-15 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.28954423592493295
Growth 1yr High Est,-0.18848167539267013
Growth 1yr Consensus Est,-0.23901295565880154
Growth 2yr Low Est,-0.4523192877737872
Growth 2yr High Est,-0.17972470866407703
Growth 2yr Consensus Est,-0.3160219982189321
Growth 5yr Low Est,-0.17632041559107367
Growth 5yr High Est,-0.0333106513808025
Growth 5yr Consensus Est,-0.10481553348593808
Growth 5yr Actual/Est,-0.09093362246167419
Growth 3yr Historic,0.053231735989398565
Price/Earnings (TTM),17.42156
Price/Sales (TTM),1.87438
Price/Book (MRQ),5.02965
Price/Cash Flow (TTM),14.09503
5yr Low,45.07
5yr High,100.25
5yr Avg Return,0.015249999999999996
Short Int Current Month,6069546.0
Short Int Prev Month,6870849.0
Short Int Pct of Float,0.0165906
Days to Cover,2.10111
Float,365.8716
Shares Outstanding,394.7203
Institutions Holding Shares,1185.0
FCF Growth 5yr,-1.6382639271813153
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",17.42
"PEG Ratio (TTM, GAAP)",2.4
Gross Profit Margin (TTM),0.5357999999999999
Operating Profit Margin (TTM),0.1192
Net Profit Margin (TTM),0.1094
Annual Dividend Yield,0.033
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.299
EPS Growth (TTM),0.1492
Revenue Growth (MRQ),-0.0025
Revenue Growth (TTM),0.054400000000000004
Return On Equity (TTM),0.30260000000000004
Return On Assets (TTM),0.1272
Return On Investment (TTM),0.16190000000000002
Revenue Per Employee (TTM),163500.0
Total Debt/Total Capital (MRQ),0.3222
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),1.32
Interest Coverage (MRQ),34.66
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,sell
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-01-27 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-04-02 00:00:00
cfra since,2019-01-11 00:00:00
ford since,2019-04-05 00:00:00
creditSuisse since,2018-04-24 00:00:00
