,Industry,Type,VMC,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.02,Valuation,21.81,0.9474370112945265
Price/Sales (TTM),2.28,Valuation,2.69,1.1798245614035088
Price/Book (MRQ),2.26,Valuation,2.4,1.0619469026548674
"PEG Ratio (TTM, GAAP)",2.06,Valuation,2.09,1.0145631067961165
Gross Profit Margin (TTM),0.25170000000000003,Profitability,0.2541,1.00953516090584
Operating Profit Margin (TTM),0.14730000000000001,Profitability,0.1777,1.2063815342837745
Net Profit Margin (TTM),0.0992,Profitability,0.1242,1.2520161290322582
Annual Dividend Yield,0.011000000000000001,Dividend,0.013500000000000002,1.2272727272727273
Dividend Change %,0.11109999999999999,Dividend,0.10710000000000001,0.9639963996399642
"Dividend Growth Rate, 3 Years",0.1075,Dividend,0.1573,1.4632558139534884
EPS Growth (MRQ),-0.38770000000000004,Gowth rates,-0.5778,1.4903275728656176
EPS Growth (TTM),0.11199999999999999,Gowth rates,0.17149999999999999,1.53125
Revenue Growth (MRQ),0.0437,Gowth rates,-0.11539999999999999,-2.640732265446224
Revenue Growth (TTM),0.08449999999999999,Gowth rates,0.10099999999999999,1.1952662721893492
Return On Equity (TTM),0.09150000000000001,Effectiveness,0.11449999999999999,1.251366120218579
Return On Assets (TTM),0.04650000000000001,Effectiveness,0.0591,1.2709677419354837
Return On Investment (TTM),0.049400000000000006,Effectiveness,0.0625,1.2651821862348176
Revenue Per Employee (TTM),555988.0,Effectiveness,568248.0,1.022050835629546
Total Debt/Total Capital (MRQ),0.387,Financial strength,0.3326,0.8594315245478036
Change in Debt/Total Capital Quarter over Quarter,0.0,Financial strength,-0.0009,-inf
Quick Ratio (MRQ),1.58,Financial strength,1.69,1.0696202531645569
Interest Coverage (MRQ),3.93,Financial strength,3.7,0.9414758269720102
