,VMC
Price/Earnings (TTM),21.81135
Price/Sales (TTM),2.68785
Price/Book (MRQ),2.39526
Price/Cash Flow (TTM),13.39763
5yr Low,65.56
5yr High,152.49
5yr Avg Return,0.05771666666666668
EPS Growth 5yr,0.245421
Revenue Growth 5yr,0.1048373
Dividend Growth 5yr,0.41318750000000004
Short Int Current Month,2110714.0
Short Int Prev Month,2335768.0
Short Int Pct of Float,0.0160261
Days to Cover,1.20235
Float,131.6843
Shares Outstanding,132.4343
Institutions Holding Shares,878.0
% Held by Institutions,0.92792
FCF Growth 5yr,0.3040188274086579
