,HFC
% Above Low,0.6888
% Held by Institutions,0.8506999999999999
52-Wk Range,['18.48 - 58.88']
Annual Dividend $,1.4
Annual Dividend %,0.0495
Ask,31.5
Ask Size,400.0
B/A Ratio,2.5
B/A Size,1000x400
Beta,1.8
Bid,29.5
Bid Size,1000.0
Closing Price,31.21
Day Change $,2.9
Day Change %,0.1024
Day High,31.28
Day Low,28.62
Dividend Pay Date,2020-03-05 00:00:00
"EPS (TTM, GAAP)",4.58
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.621
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,5.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.18
Prev Close,28.31
Short Interest,0.0434
Today's Open,29.0
Volume,2011394.0
Volume 10-day Avg,2306098.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.2520661157024793
Growth 1yr High Est,-0.09284332688588004
Growth 1yr Consensus Est,-0.6724547212941796
Growth 2yr Low Est,-1.093246172605338
Growth 2yr High Est,-0.05601654617215118
Growth 2yr Consensus Est,-0.5746313593887445
Growth 5yr Low Est,-0.24411167077755483
Growth 5yr High Est,0.2288544720119636
Growth 5yr Consensus Est,-0.007628599382795601
Growth 5yr Actual/Est,0.9202940196568383
Growth 3yr Historic,0.3841829085457273
Price/Earnings (TTM),6.18382
Price/Sales (TTM),0.26208
Price/Book (MRQ),0.76643
Price/Cash Flow (TTM),3.31549
5yr Low,18.48
5yr High,83.28
5yr Avg Return,-0.01111666666666667
EPS Growth 5yr,0.2653515
Revenue Growth 5yr,-0.0241916
Dividend Growth 5yr,0.0125826
Short Int Current Month,6973335.0
Short Int Prev Month,7421649.0
Short Int Pct of Float,0.0434235
Days to Cover,2.78764
Float,160.5898
Shares Outstanding,161.8836
Institutions Holding Shares,722.0
FCF Growth 5yr,0.9192842918522329
"Price/Earnings (TTM, GAAP)",6.18
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.21170000000000003
Operating Profit Margin (TTM),0.073
Net Profit Margin (TTM),0.0499
Annual Dividend Yield,0.0495
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.7641
EPS Growth (TTM),-0.2541
Revenue Growth (MRQ),-0.0097
Revenue Growth (TTM),-0.0129
Return On Equity (TTM),0.1297
Return On Assets (TTM),0.0753
Return On Investment (TTM),0.0907
Revenue Per Employee (TTM),4292238.0
Total Debt/Total Capital (MRQ),0.2745
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),2.57
theStreet,hold
newConstructs,2
researchTeam,hold
creditSuisse,neutral
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet since,2020-03-12 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
creditSuisse since,2018-04-05 00:00:00
cfra since,2019-01-18 00:00:00
ford since,2019-12-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
