,HFC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.18,-35.51,Valuation,-0.17403548296254576
Price/Sales (TTM),0.26,3.31,Valuation,0.07854984894259819
Price/Book (MRQ),0.77,2.33,Valuation,0.33047210300429186
"PEG Ratio (TTM, GAAP)",,0.32,Valuation,
Gross Profit Margin (TTM),0.21170000000000003,0.3982,Profitability,0.5316423907584129
Operating Profit Margin (TTM),0.073,-0.0002,Profitability,-364.99999999999994
Net Profit Margin (TTM),0.0499,-0.0029,Profitability,-17.20689655172414
Annual Dividend Yield,0.0495,0.0675,Dividend,0.7333333333333333
Dividend Change %,0.0,0.1449,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0891,Dividend,0.0
EPS Growth (MRQ),-0.7641,-2.7653,Gowth rates,0.2763172169384877
EPS Growth (TTM),-0.2541,-1.0931,Gowth rates,0.23245814655566738
Revenue Growth (MRQ),-0.0097,0.0496,Gowth rates,-0.19556451612903228
Revenue Growth (TTM),-0.0129,-0.0147,Gowth rates,0.8775510204081632
Return On Equity (TTM),0.1297,0.053899999999999997,Effectiveness,2.4063079777365495
Return On Assets (TTM),0.0753,0.0173,Effectiveness,4.3526011560693645
Return On Investment (TTM),0.0907,0.0278,Effectiveness,3.262589928057554
Revenue Per Employee (TTM),4292238.0,3759409.0,Effectiveness,1.1417321180004623
Total Debt/Total Capital (MRQ),0.2745,0.37229999999999996,Financial strength,0.7373086220789687
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0016,Financial strength,-0.5
Quick Ratio (MRQ),1.09,0.78,Financial strength,1.3974358974358976
Interest Coverage (MRQ),2.57,3.59,Financial strength,0.7158774373259053
