,Industry,Type,XLNX,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.87,Valuation,27.87,1.1675743611227483
Price/Sales (TTM),6.79,Valuation,6.83,1.0058910162002945
Price/Book (MRQ),9.59,Valuation,9.34,0.9739311783107404
"PEG Ratio (TTM, GAAP)",0.45,Valuation,3.74,8.311111111111112
Gross Profit Margin (TTM),0.5476,Profitability,0.6688,1.2213294375456538
Operating Profit Margin (TTM),0.22649999999999998,Profitability,0.2504,1.1055187637969097
Net Profit Margin (TTM),0.1979,Profitability,0.2506,1.2662961091460334
Annual Dividend Yield,0.0176,Dividend,0.0175,0.9943181818181819
Dividend Change %,0.18359999999999999,Dividend,0.0278,0.1514161220043573
"Dividend Growth Rate, 3 Years",0.1543,Dividend,0.038900000000000004,0.2521062864549579
EPS Growth (MRQ),1.0316,Gowth rates,0.015500000000000002,0.015025203567274138
EPS Growth (TTM),0.5253,Gowth rates,-0.085,-0.16181229773462785
Revenue Growth (MRQ),0.1457,Gowth rates,0.0452,0.3102264927934111
Revenue Growth (TTM),0.0076,Gowth rates,0.0339,4.4605263157894735
Return On Equity (TTM),0.31920000000000004,Effectiveness,0.3063,0.9595864661654134
Return On Assets (TTM),0.1319,Effectiveness,0.161,1.2206216830932526
Return On Investment (TTM),0.1574,Effectiveness,0.19140000000000001,1.2160101651842439
Revenue Per Employee (TTM),628519.0,Effectiveness,,
Total Debt/Total Capital (MRQ),0.3632,Financial strength,0.35000000000000003,0.9636563876651982
Change in Debt/Total Capital Quarter over Quarter,0.0,Financial strength,0.0011,inf
Quick Ratio (MRQ),2.74,Financial strength,2.4,0.875912408759124
Interest Coverage (MRQ),17.53,Financial strength,,
