,XLNX
% Above Low,0.2834
% Held by Institutions,0.8109999999999999
52-Wk Range,['67.68 - 133.00']
Annual Dividend $,1.52
Annual Dividend %,0.018000000000000002
Ask,87.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.0
Bid,86.86
Bid Size,400.0
Closing Price,86.86
Day Change $,2.43
Day Change %,0.0288
Day High,86.93
Day Low,85.21
Dividend Pay Date,2020-06-03 00:00:00
"EPS (TTM, GAAP)",3.12
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.461
Last (size),25.0
Last (time),3:59p ET 05/08/20
Market Cap,21.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.87
Prev Close,84.43
Short Interest,0.0204
Today's Open,85.3
Volume,1783593.0
Volume 10-day Avg,2935681.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.24013157894736836
Growth 1yr High Est,-0.05604719764011801
Growth 1yr Consensus Est,-0.14808938829374318
Growth 2yr Low Est,-0.0010181704260652236
Growth 2yr High Est,0.096976401179941
Growth 2yr Consensus Est,0.047979115376937886
Growth 5yr Low Est,-0.024124244096479768
Growth 5yr High Est,0.053254922723949306
Growth 5yr Consensus Est,0.01456533931373477
Growth 5yr Actual/Est,0.16919753158921438
Growth 3yr Historic,0.14436324962261562
Price/Earnings (TTM),27.86627
Price/Sales (TTM),6.83409
Price/Book (MRQ),9.33628
Price/Cash Flow (TTM),22.90064
5yr Low,38.7
5yr High,141.6
5yr Avg Return,0.13171666666666665
EPS Growth 5yr,0.0578205
Revenue Growth 5yr,0.0587472
Dividend Growth 5yr,0.049931
Short Int Current Month,5057703.0
Short Int Prev Month,5659268.0
Short Int Pct of Float,0.0203627
Days to Cover,2.12295
Float,248.3843
Shares Outstanding,248.8366
Institutions Holding Shares,1084.0
FCF Growth 5yr,0.06361296662790447
"Price/Earnings (TTM, GAAP)",27.87
"PEG Ratio (TTM, GAAP)",3.74
Gross Profit Margin (TTM),0.6688
Operating Profit Margin (TTM),0.2504
Net Profit Margin (TTM),0.2506
Annual Dividend Yield,0.0175
Dividend Change %,0.0278
"Dividend Growth Rate, 3 Years",0.038900000000000004
EPS Growth (MRQ),0.015500000000000002
EPS Growth (TTM),-0.085
Revenue Growth (MRQ),0.0452
Revenue Growth (TTM),0.0339
Return On Equity (TTM),0.3063
Return On Assets (TTM),0.161
Return On Investment (TTM),0.19140000000000001
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.35000000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),2.4
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2009-05-04 00:00:00
cfra since,2015-01-22 00:00:00
ford since,2020-01-31 00:00:00
creditSuisse since,2017-04-23 00:00:00
