,ADS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.65,38.57,Valuation,0.14648690692247862
Price/Sales (TTM),0.38,10.33,Valuation,0.036786060019361085
Price/Book (MRQ),1.99,16.63,Valuation,0.1196632591701744
"PEG Ratio (TTM, GAAP)",1.01,3.85,Valuation,0.2623376623376623
Gross Profit Margin (TTM),0.5593,0.443,Profitability,1.262528216704289
Operating Profit Margin (TTM),0.198,0.3113,Profitability,0.6360424028268551
Net Profit Margin (TTM),0.07,0.2429,Profitability,0.2881844380403458
Annual Dividend Yield,0.018500000000000003,0.010400000000000001,Dividend,1.778846153846154
Dividend Change %,0.10529999999999999,0.27890000000000004,Dividend,0.37755467909645024
"Dividend Growth Rate, 3 Years",0.6923,0.1068,Dividend,6.4822097378277155
EPS Growth (MRQ),-0.7001000000000001,-0.166,Gowth rates,4.217469879518072
EPS Growth (TTM),-0.5196000000000001,0.1002,Gowth rates,-5.185628742514971
Revenue Growth (MRQ),-0.0542,0.19760000000000003,Gowth rates,-0.27429149797570845
Revenue Growth (TTM),0.0017000000000000001,0.171,Gowth rates,0.009941520467836256
Return On Equity (TTM),0.23120000000000002,0.4304,Effectiveness,0.5371747211895911
Return On Assets (TTM),0.0147,0.1204,Effectiveness,0.12209302325581396
Return On Investment (TTM),0.0244,0.18920000000000003,Effectiveness,0.12896405919661733
Revenue Per Employee (TTM),662224.0,654648.0,Effectiveness,1.0115726313988587
Total Debt/Total Capital (MRQ),0.9504000000000001,0.4744,Financial strength,2.0033726812816193
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0015,Financial strength,0.39999999999999997
Quick Ratio (MRQ),2.0,0.11,Financial strength,18.181818181818183
Interest Coverage (MRQ),1.14,22.68,Financial strength,0.05026455026455026
