,AIZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.87,11.9,Valuation,1.5016806722689076
Price/Sales (TTM),0.58,3.79,Valuation,0.15303430079155672
Price/Book (MRQ),1.1,2.87,Valuation,0.3832752613240418
"PEG Ratio (TTM, GAAP)",,0.14,Valuation,
Gross Profit Margin (TTM),,0.0161,Profitability,
Operating Profit Margin (TTM),0.0696,0.10220000000000001,Profitability,0.6810176125244617
Net Profit Margin (TTM),0.0366,0.069,Profitability,0.5304347826086956
Annual Dividend Yield,0.0256,0.026099999999999998,Dividend,0.9808429118773947
Dividend Change %,0.0658,0.0658,Dividend,1.0
"Dividend Growth Rate, 3 Years",0.0618,0.1061,Dividend,0.5824693685202639
EPS Growth (MRQ),0.1869,-0.1369,Gowth rates,-1.3652300949598248
EPS Growth (TTM),0.1908,0.8539,Gowth rates,0.22344536831010656
Revenue Growth (MRQ),-0.016200000000000003,0.1629,Gowth rates,-0.09944751381215472
Revenue Growth (TTM),0.154,0.0974,Gowth rates,1.5811088295687885
Return On Equity (TTM),0.0653,0.1313,Effectiveness,0.4973343488194973
Return On Assets (TTM),0.0087,0.0302,Effectiveness,0.28807947019867547
Return On Investment (TTM),,0.0234,Effectiveness,
Revenue Per Employee (TTM),719655.0,1167261.0,Effectiveness,0.6165330632994678
Total Debt/Total Capital (MRQ),0.2907,0.2986,Financial strength,0.9735432016075019
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0004,Financial strength,1.7500000000000002
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),5.06,10.16,Financial strength,0.4980314960629921
