,ABC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.69,22.76,Valuation,0.5136203866432337
Price/Sales (TTM),0.1,10.65,Valuation,0.009389671361502348
Price/Book (MRQ),4.93,6.03,Valuation,0.8175787728026533
"PEG Ratio (TTM, GAAP)",1.44,62.83,Valuation,0.022918987744707943
Gross Profit Margin (TTM),0.027000000000000003,0.1463,Profitability,0.18455228981544772
Operating Profit Margin (TTM),0.0062,0.028300000000000002,Profitability,0.21908127208480563
Net Profit Margin (TTM),0.0086,0.0068000000000000005,Profitability,1.2647058823529411
Annual Dividend Yield,0.0189,0.0122,Dividend,1.5491803278688523
Dividend Change %,0.0526,0.10099999999999999,Dividend,0.5207920792079208
"Dividend Growth Rate, 3 Years",0.055700000000000006,0.10400000000000001,Dividend,0.5355769230769231
EPS Growth (MRQ),4.1289,0.608,Gowth rates,6.790953947368421
EPS Growth (TTM),0.8971,0.0036,Gowth rates,249.19444444444446
Revenue Growth (MRQ),-0.009300000000000001,0.1227,Gowth rates,-0.07579462102689487
Revenue Growth (TTM),0.06280000000000001,0.21739999999999998,Gowth rates,0.2888684452621896
Return On Equity (TTM),0.47759999999999997,0.1627,Effectiveness,2.9354640442532265
Return On Assets (TTM),0.0394,0.050800000000000005,Effectiveness,0.7755905511811022
Return On Investment (TTM),0.16399999999999998,0.016200000000000003,Effectiveness,10.123456790123454
Revenue Per Employee (TTM),8461793.0,1202685.0,Effectiveness,7.035751672299896
Total Debt/Total Capital (MRQ),0.528,0.4826,Financial strength,1.0940737670949028
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0022,Financial strength,-0.5454545454545454
Quick Ratio (MRQ),0.63,0.37,Financial strength,1.7027027027027026
Interest Coverage (MRQ),18.23,10.31,Financial strength,1.7681862269641124
