,DD
% Above Low,0.6565000000000001
% Held by Institutions,0.7203
52-Wk Range,['28.33 - 77.03']
Annual Dividend $,1.2
Annual Dividend %,0.0268
Ask,47.16
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,46.95
Bid Size,100.0
Change Since Close,0.01| |(0.02%)
Closing Price,46.93
Day Change $,2.17
Day Change %,0.048499999999999995
Day High,47.05
Day Low,45.04
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",-1.67
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.6509999999999999
Last (size),14.0
Last (time),6:30p ET 05/08/20
Last Trade,46.94
Market Cap,34.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,44.76
Short Interest,0.025699999999999997
Today's Open,45.29
Volume,4776730.0
Volume 10-day Avg,6262591.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.3813333333333334
Growth 1yr High Est,-0.020618556701030966
Growth 1yr Consensus Est,-0.2009759450171822
Growth 2yr Low Est,-0.2704080459770115
Growth 2yr High Est,0.05416440586001087
Growth 2yr Consensus Est,-0.10812182005850032
Growth 5yr Low Est,0.013732147224260194
Growth 5yr High Est,0.0428356275875397
Growth 5yr Consensus Est,0.028283887405899946
Growth 5yr Actual/Est,-0.1802287567238876
Growth 3yr Historic,-0.16498567019400356
Price/Earnings (TTM),
Price/Sales (TTM),1.54063
Price/Book (MRQ),0.83044
Price/Cash Flow (TTM),29.96785
5yr Low,28.33
5yr High,231.24
5yr Avg Return,-0.263125
Short Int Current Month,18955009.0
Short Int Prev Month,15777959.0
Short Int Pct of Float,0.0257068
Days to Cover,2.98743
Float,731.8806
Shares Outstanding,733.7972
Institutions Holding Shares,1620.0
FCF Growth 5yr,-2.1604455446843054
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35490000000000005
Operating Profit Margin (TTM),-0.0273
Net Profit Margin (TTM),-0.057
Annual Dividend Yield,0.0268
Dividend Change %,-0.5263
"Dividend Growth Rate, 3 Years",-0.2686
EPS Growth (MRQ),-6.4181
EPS Growth (TTM),-6.1687
Revenue Growth (MRQ),0.0033000000000000004
Revenue Growth (TTM),-0.0487
Return On Equity (TTM),-0.0189
Return On Assets (TTM),-0.0094
Return On Investment (TTM),-0.0111
Revenue Per Employee (TTM),609114.0
Total Debt/Total Capital (MRQ),0.3043
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),0.7
Interest Coverage (MRQ),3.4
newConstructs,4
researchTeam,reduce
cfra,4
theStreet,sell
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
ford,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-04 00:00:00
cfra since,2019-05-02 00:00:00
theStreet since,2020-02-04 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-09-06 00:00:00
ford since,
