,Industry,PVH,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.45,8.29,Valuation,0.32573673870333986
Price/Sales (TTM),3.28,0.33,Valuation,0.10060975609756098
Price/Book (MRQ),12.03,0.57,Valuation,0.04738154613466334
"PEG Ratio (TTM, GAAP)",1.0,,Valuation,
Gross Profit Margin (TTM),0.4827,0.5438000000000001,Profitability,1.1265796561010981
Operating Profit Margin (TTM),0.12090000000000001,0.0564,Profitability,0.46650124069478904
Net Profit Margin (TTM),0.102,0.04190000000000001,Profitability,0.4107843137254903
Annual Dividend Yield,0.0117,,Dividend,
Dividend Change %,0.0692,0.0,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0758,0.0,Dividend,0.0
EPS Growth (MRQ),-0.3258,-1.3275000000000001,Gowth rates,4.074585635359116
EPS Growth (TTM),0.2535,-0.4047,Gowth rates,-1.5964497041420118
Revenue Growth (MRQ),0.09380000000000001,0.0051,Gowth rates,0.05437100213219616
Revenue Growth (TTM),0.0782,0.026099999999999998,Gowth rates,0.33375959079283885
Return On Equity (TTM),0.3899,0.0717,Effectiveness,0.18389330597589124
Return On Assets (TTM),0.1565,0.0326,Effectiveness,0.2083067092651757
Return On Investment (TTM),0.21960000000000002,0.0391,Effectiveness,0.1780510018214936
Revenue Per Employee (TTM),452597.0,460884.0,Effectiveness,1.01830988716231
Total Debt/Total Capital (MRQ),0.25680000000000003,0.32299999999999995,Financial strength,1.2577881619937692
Change in Debt/Total Capital Quarter over Quarter,-0.0009,-0.0015,Financial strength,1.6666666666666667
Quick Ratio (MRQ),1.37,0.75,Financial strength,0.5474452554744526
Interest Coverage (MRQ),406.61,3.34,Financial strength,0.008214259364009739
