,PVH
% Above Low,0.6204
% Held by Institutions,1.0587
52-Wk Range,['28.40 - 123.41']
Annual Dividend $,
Annual Dividend %,
Ask,50.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.1
Bid,43.0
Bid Size,100.0
Closing Price,46.02
Day Change $,3.08
Day Change %,0.0717
Day High,46.1
Day Low,43.77
Dividend Pay Date,03/31/20
"EPS (TTM, GAAP)",5.55
Ex-dividend Date,03/19/20
Historical Volatility,0.7640000000000001
Last (size),43.0
Last (time),6:30p ET 05/08/20
Market Cap,3.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.29
Prev Close,42.94
Short Interest,0.0524
Today's Open,44.59
Volume,1291112.0
Volume 10-day Avg,1978046.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.4782608695652173
Growth 1yr High Est,-0.3172268907563025
Growth 1yr Consensus Est,-0.8977438801607599
Growth 2yr Low Est,-1.5162922973103248
Growth 2yr High Est,0.03369424692954104
Growth 2yr Consensus Est,-0.7412990251903919
Growth 5yr Low Est,-0.7055052823092832
Growth 5yr High Est,0.06866000875266229
Growth 5yr Consensus Est,-0.31842263677831045
Growth 5yr Actual/Est,0.3439126662875438
Growth 3yr Historic,0.050704502518891637
Price/Earnings (TTM),8.28734
Price/Sales (TTM),0.32945
Price/Book (MRQ),0.57247
Price/Cash Flow (TTM),4.41809
5yr Low,28.4
5yr High,169.22
5yr Avg Return,-0.04876666666666666
EPS Growth 5yr,0.011994
Revenue Growth 5yr,0.037547199999999996
Dividend Growth 5yr,
Short Int Current Month,3670726.0
Short Int Prev Month,2647531.0
Short Int Pct of Float,0.0523794
Days to Cover,1.59363
Float,70.09724
Shares Outstanding,70.9371
Institutions Holding Shares,627.0
FCF Growth 5yr,0.13507100260548344
"Price/Earnings (TTM, GAAP)",8.29
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5438000000000001
Operating Profit Margin (TTM),0.0564
Net Profit Margin (TTM),0.04190000000000001
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-1.3275000000000001
EPS Growth (TTM),-0.4047
Revenue Growth (MRQ),0.0051
Revenue Growth (TTM),0.026099999999999998
Return On Equity (TTM),0.0717
Return On Assets (TTM),0.0326
Return On Investment (TTM),0.0391
Revenue Per Employee (TTM),460884.0
Total Debt/Total Capital (MRQ),0.32299999999999995
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),3.34
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-05-30 00:00:00
cfra since,2019-05-29 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2018-05-23 00:00:00
