,XEL
% Below High,0.16399999999999998
% Held by Institutions,0.7905
52-Wk Range,['46.58 - 72.14']
Annual Dividend $,1.72
Annual Dividend %,0.0287
Ask,61.39
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.3
Bid,60.26
Bid Size,600.0
Closing Price,60.31
Day Change $,0.35
Day Change %,0.0058
Day High,60.97
Day Low,59.88
Dividend Pay Date,2020-04-20 00:00:00
"EPS (TTM, GAAP)",2.59
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.371
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,31.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.32
Prev Close,59.96
Short Interest,0.015600000000000001
Today's Open,60.73
Volume,2528984.0
Volume 10-day Avg,3538742.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.02316602316602312
Growth 1yr High Est,0.05263157894736836
Growth 1yr Consensus Est,0.03789880105669574
Growth 2yr Low Est,0.06252640780942664
Growth 2yr High Est,0.06381578947368416
Growth 2yr Consensus Est,0.0631710986415554
Growth 5yr Low Est,0.061854544037116266
Growth 5yr High Est,0.06729513334645298
Growth 5yr Consensus Est,0.06457483869178463
Growth 5yr Actual/Est,0.0651923143599345
Growth 3yr Historic,0.03568473860235877
Price/Earnings (TTM),23.32281
Price/Sales (TTM),2.82744
Price/Book (MRQ),2.38045
Price/Cash Flow (TTM),9.63619
5yr Low,31.76
5yr High,72.14
5yr Avg Return,0.1094
EPS Growth 5yr,0.0542539
Revenue Growth 5yr,-0.0027038
Dividend Growth 5yr,0.0621253
Short Int Current Month,8152321.0
Short Int Prev Month,7648711.0
Short Int Pct of Float,0.0155596
Days to Cover,2.54549
Float,523.9308
Shares Outstanding,525.0294
Institutions Holding Shares,1105.0
FCF Growth 5yr,0.5470202786654254
"Price/Earnings (TTM, GAAP)",23.32
"PEG Ratio (TTM, GAAP)",3.89
Gross Profit Margin (TTM),0.43479999999999996
Operating Profit Margin (TTM),0.18510000000000001
Net Profit Margin (TTM),0.1207
Annual Dividend Yield,0.0285
Dividend Change %,0.0633
"Dividend Growth Rate, 3 Years",0.059800000000000006
EPS Growth (MRQ),0.0084
EPS Growth (TTM),0.0313
Revenue Growth (MRQ),0.0046
Revenue Growth (TTM),-0.045
Return On Equity (TTM),0.10550000000000001
Return On Assets (TTM),0.0273
Return On Investment (TTM),0.0305
Revenue Per Employee (TTM),993436.0
Total Debt/Total Capital (MRQ),0.5991
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),2.66
theStreet,buy
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,0
cfra,2
ford,2
creditSuisse,
theStreet since,2010-08-15 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-10-25 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-10-25 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
