,XEL
Price/Earnings (TTM),23.32281
Price/Sales (TTM),2.82744
Price/Book (MRQ),2.38045
Price/Cash Flow (TTM),9.63619
5yr Low,31.76
5yr High,72.14
5yr Avg Return,0.1094
EPS Growth 5yr,0.0542539
Revenue Growth 5yr,-0.0027038
Dividend Growth 5yr,0.0621253
Short Int Current Month,8152321.0
Short Int Prev Month,7648711.0
Short Int Pct of Float,0.0155596
Days to Cover,2.54549
Float,523.9308
Shares Outstanding,525.0294
Institutions Holding Shares,1105.0
% Held by Institutions,0.790523
FCF Growth 5yr,0.5470202786654254
